,Part des ménages en %,code_insee,Ville
Depuis moins de 2 ans,"16,2",01053,bourg-en-bresse
De 2 à 4 ans,"24,6",01053,bourg-en-bresse
De 5 à 9 ans,"19,7",01053,bourg-en-bresse
De 10 à 19 ans,"17,4",01053,bourg-en-bresse
De 20 à 29 ans,"8,7",01053,bourg-en-bresse
30 ans ou plus,"13,5",01053,bourg-en-bresse
Depuis moins de 2 ans,"12,0",01283,oyonnax
De 2 à 4 ans,"22,0",01283,oyonnax
De 5 à 9 ans,"19,2",01283,oyonnax
De 10 à 19 ans,"21,0",01283,oyonnax
De 20 à 29 ans,"10,6",01283,oyonnax
30 ans ou plus,"15,2",01283,oyonnax
Depuis moins de 2 ans,"15,5",02408,laon
De 2 à 4 ans,"24,3",02408,laon
De 5 à 9 ans,"17,6",02408,laon
De 10 à 19 ans,"17,1",02408,laon
De 20 à 29 ans,"9,9",02408,laon
30 ans ou plus,"15,7",02408,laon
Depuis moins de 2 ans,"16,0",02691,saint-quentin
De 2 à 4 ans,"22,3",02691,saint-quentin
De 5 à 9 ans,"17,7",02691,saint-quentin
De 10 à 19 ans,"17,4",02691,saint-quentin
De 20 à 29 ans,"9,9",02691,saint-quentin
30 ans ou plus,"16,8",02691,saint-quentin
Depuis moins de 2 ans,"15,6",02722,soissons
De 2 à 4 ans,"23,7",02722,soissons
De 5 à 9 ans,"18,4",02722,soissons
De 10 à 19 ans,"18,2",02722,soissons
De 20 à 29 ans,"10,5",02722,soissons
30 ans ou plus,"13,5",02722,soissons
Depuis moins de 2 ans,"14,9",03185,montlucon
De 2 à 4 ans,"20,9",03185,montlucon
De 5 à 9 ans,"16,7",03185,montlucon
De 10 à 19 ans,"17,8",03185,montlucon
De 20 à 29 ans,"10,6",03185,montlucon
30 ans ou plus,"19,2",03185,montlucon
Depuis moins de 2 ans,"18,8",03310,vichy
De 2 à 4 ans,"24,7",03310,vichy
De 5 à 9 ans,"18,6",03310,vichy
De 10 à 19 ans,"17,0",03310,vichy
De 20 à 29 ans,"8,7",03310,vichy
30 ans ou plus,"12,1",03310,vichy
Depuis moins de 2 ans,"14,0",04112,manosque
De 2 à 4 ans,"24,4",04112,manosque
De 5 à 9 ans,"19,2",04112,manosque
De 10 à 19 ans,"17,7",04112,manosque
De 20 à 29 ans,"11,0",04112,manosque
30 ans ou plus,"13,8",04112,manosque
Depuis moins de 2 ans,"13,8",05061,gap
De 2 à 4 ans,"22,2",05061,gap
De 5 à 9 ans,"17,5",05061,gap
De 10 à 19 ans,"18,3",05061,gap
De 20 à 29 ans,"11,6",05061,gap
30 ans ou plus,"16,7",05061,gap
Depuis moins de 2 ans,"12,9",06004,antibes
De 2 à 4 ans,"22,7",06004,antibes
De 5 à 9 ans,"19,5",06004,antibes
De 10 à 19 ans,"19,1",06004,antibes
De 20 à 29 ans,"12,1",06004,antibes
30 ans ou plus,"13,7",06004,antibes
Depuis moins de 2 ans,"12,9",06027,cagnes-sur-mer
De 2 à 4 ans,"22,8",06027,cagnes-sur-mer
De 5 à 9 ans,"18,8",06027,cagnes-sur-mer
De 10 à 19 ans,"20,5",06027,cagnes-sur-mer
De 20 à 29 ans,"12,2",06027,cagnes-sur-mer
30 ans ou plus,"12,8",06027,cagnes-sur-mer
Depuis moins de 2 ans,"11,6",06029,cannes
De 2 à 4 ans,"21,9",06029,cannes
De 5 à 9 ans,"19,7",06029,cannes
De 10 à 19 ans,"21,5",06029,cannes
De 20 à 29 ans,"11,9",06029,cannes
30 ans ou plus,"13,4",06029,cannes
Depuis moins de 2 ans,"12,0",06030,le-cannet
De 2 à 4 ans,"21,9",06030,le-cannet
De 5 à 9 ans,"18,0",06030,le-cannet
De 10 à 19 ans,"20,4",06030,le-cannet
De 20 à 29 ans,"13,2",06030,le-cannet
30 ans ou plus,"14,5",06030,le-cannet
Depuis moins de 2 ans,"12,2",06069,grasse
De 2 à 4 ans,"21,5",06069,grasse
De 5 à 9 ans,"19,8",06069,grasse
De 10 à 19 ans,"20,7",06069,grasse
De 20 à 29 ans,"11,8",06069,grasse
30 ans ou plus,"14,0",06069,grasse
Depuis moins de 2 ans,"13,2",06079,mandelieu-la-napoule
De 2 à 4 ans,"22,6",06079,mandelieu-la-napoule
