Catégorie socioprofessionnelle,2010,%,2015,%.1,2021,%.2,code_insee,Ville
Ensemble,33850,"100,0",34306,"100,0",34928,"100,0",01053,bourg-en-bresse
Agriculteurs exploitants,17,"0,0",26,"0,1",8,"0,0",01053,bourg-en-bresse
"Artisans, commerçants, chefs d'entreprise",797,"2,4",783,"2,3",701,"2,0",01053,bourg-en-bresse
Cadres et professions intellectuelles supérieures,2189,"6,5",2131,"6,2",2357,"6,7",01053,bourg-en-bresse
Professions intermédiaires,4647,"13,7",4546,"13,3",4827,"13,8",01053,bourg-en-bresse
Employés,5172,"15,3",5235,"15,3",5096,"14,6",01053,bourg-en-bresse
Ouvriers,5089,"15,0",4852,"14,1",4845,"13,9",01053,bourg-en-bresse
Retraités,9589,"28,3",10165,"29,6",9680,"27,7",01053,bourg-en-bresse
Autres personnes sans activité professionnelle,6350,"18,8",6568,"19,1",7414,"21,2",01053,bourg-en-bresse
Ensemble,17889,"100,0",17485,"100,0",17311,"100,0",01283,oyonnax
Agriculteurs exploitants,16,"0,1",18,"0,1",3,"0,0",01283,oyonnax
"Artisans, commerçants, chefs d'entreprise",531,"3,0",593,"3,4",598,"3,5",01283,oyonnax
Cadres et professions intellectuelles supérieures,714,"4,0",721,"4,1",726,"4,2",01283,oyonnax
Professions intermédiaires,1738,"9,7",1884,"10,8",1735,"10,0",01283,oyonnax
Employés,2107,"11,8",2245,"12,8",1740,"10,1",01283,oyonnax
Ouvriers,5026,"28,1",4484,"25,6",4416,"25,5",01283,oyonnax
Retraités,4429,"24,8",4518,"25,8",4240,"24,5",01283,oyonnax
Autres personnes sans activité professionnelle,3328,"18,6",3021,"17,3",3853,"22,3",01283,oyonnax
Ensemble,21149,"100,0",20840,"100,0",19904,"100,0",02408,laon
Agriculteurs exploitants,19,"0,1",13,"0,1",21,"0,1",02408,laon
"Artisans, commerçants, chefs d'entreprise",459,"2,2",400,"1,9",397,"2,0",02408,laon
Cadres et professions intellectuelles supérieures,1264,"6,0",1059,"5,1",954,"4,8",02408,laon
Professions intermédiaires,2391,"11,3",2344,"11,2",2072,"10,4",02408,laon
Employés,3928,"18,6",3563,"17,1",3179,"16,0",02408,laon
Ouvriers,3257,"15,4",3219,"15,4",2967,"14,9",02408,laon
Retraités,5168,"24,4",5444,"26,1",5272,"26,5",02408,laon
Autres personnes sans activité professionnelle,4664,"22,1",4796,"23,0",5043,"25,3",02408,laon
Ensemble,45657,"100,0",45363,"100,0",43639,"100,0",02691,saint-quentin
Agriculteurs exploitants,36,"0,1",47,"0,1",37,"0,1",02691,saint-quentin
"Artisans, commerçants, chefs d'entreprise",944,"2,1",1016,"2,2",1072,"2,5",02691,saint-quentin
Cadres et professions intellectuelles supérieures,2477,"5,4",2385,"5,3",2469,"5,7",02691,saint-quentin
Professions intermédiaires,5032,"11,0",4920,"10,8",4799,"11,0",02691,saint-quentin
Employés,7413,"16,2",7579,"16,7",6710,"15,4",02691,saint-quentin
Ouvriers,7286,"16,0",6779,"14,9",5949,"13,6",02691,saint-quentin
Retraités,12960,"28,4",13176,"29,0",12572,"28,8",02691,saint-quentin
Autres personnes sans activité professionnelle,9509,"20,8",9462,"20,9",10030,"23,0",02691,saint-quentin
Ensemble,23375,"100,0",23070,"100,0",23224,"100,0",02722,soissons
Agriculteurs exploitants,38,"0,2",26,"0,1",41,"0,2",02722,soissons
"Artisans, commerçants, chefs d'entreprise",602,"2,6",532,"2,3",534,"2,3",02722,soissons
Cadres et professions intellectuelles supérieures,1255,"5,4",1244,"5,4",1428,"6,1",02722,soissons
Professions intermédiaires,2488,"10,6",2404,"10,4",2453,"10,6",02722,soissons
Employés,3993,"17,1",3644,"15,8",3372,"14,5",02722,soissons
Ouvriers,3806,"16,3",3721,"16,1",3343,"14,4",02722,soissons
Retraités,6526,"27,9",6530,"28,3",6851,"29,5",02722,soissons
Autres personnes sans activité professionnelle,4668,"20,0",4969,"21,5",5201,"22,4",02722,soissons
Ensemble,33105,"100,0",31845,"100,0",28917,"100,0",03185,montlucon
Agriculteurs exploitants,11,"0,0",16,"0,1",24,"0,1",03185,montlucon
"Artisans, commerçants, chefs d'entreprise",830,"2,5",694,"2,2",634,"2,2",03185,montlucon
Cadres et professions intellectuelles supérieures,1464,"4,4",1483,"4,7",1503,"5,2",03185,montlucon
Professions intermédiaires,3354,"10,1",3158,"9,9",3012,"10,4",03185,montlucon
Employés,5617,"17,0",6323,"19,9",5435,"18,8",03185,montlucon
Ouvriers,4444,"13,4",3990,"12,5",3247,"11,2",03185,montlucon
Retraités,11570,"34,9",10989,"34,5",9725,"33,6",03185,montlucon
Autres personnes sans activité professionnelle,5816,"17,6",5192,"16,3",5337,"18,5",03185,montlucon
Ensemble,22019,"100,0",22046,"100,0",23251,"100,0",03310,vichy
Agriculteurs exploitants,11,"0,0",9,"0,0",27,"0,1",03310,vichy
"Artisans, commerçants, chefs d'entreprise",710,"3,2",749,"3,4",632,"2,7",03310,vichy
Cadres et professions intellectuelles supérieures,1111,"5,0",1207,"5,5",1124,"4,8",03310,vichy
Professions intermédiaires,2213,"10,1",2122,"9,6",1939,"8,3",03310,vichy
Employés,3123,"14,2",3279,"14,9",3081,"13,3",03310,vichy
Ouvriers,2141,"9,7",1966,"8,9",2094,"9,0",03310,vichy
Retraités,8483,"38,5",8942,"40,6",9978,"42,9",03310,vichy
Autres personnes sans activité professionnelle,4226,"19,2",3772,"17,1",4375,"18,8",03310,vichy
Ensemble,18313,"100,0",18050,"100,0",19041,"100,0",04112,manosque
Agriculteurs exploitants,66,"0,4",19,"0,1",54,"0,3",04112,manosque
"Artisans, commerçants, chefs d'entreprise",615,"3,4",601,"3,3",667,"3,5",04112,manosque
Cadres et professions intellectuelles supérieures,1322,"7,2",1554,"8,6",1826,"9,6",04112,manosque
Professions intermédiaires,2240,"12,2",2404,"13,3",2364,"12,4",04112,manosque
Employés,2902,"15,8",2650,"14,7",2782,"14,6",04112,manosque
Ouvriers,2230,"12,2",1779,"9,9",2189,"11,5",04112,manosque
Retraités,5770,"31,5",6145,"34,0",5741,"30,1",04112,manosque
Autres personnes sans activité professionnelle,3168,"17,3",2898,"16,1",3419,"18,0",04112,manosque
Ensemble,33074,"100,0",33714,"100,0",34455,"100,0",05061,gap
Agriculteurs exploitants,166,"0,5",68,"0,2",81,"0,2",05061,gap
"Artisans, commerçants, chefs d'entreprise",1159,"3,5",1238,"3,7",1271,"3,7",05061,gap
Cadres et professions intellectuelles supérieures,2172,"6,6",2122,"6,3",2235,"6,5",05061,gap
