"","X","Hiver","Printemps","Eté","Automne","code_insee","Ville"
"1","Heures d'ensoleillement","25","52","74","23","01053","bourg-en-bresse"
"2","Hauteur de pluie","303","386","257","314","01053","bourg-en-bresse"
"3","Heures d'ensoleillement","25","52","74","23","01283","oyonnax"
"4","Hauteur de pluie","303","386","257","314","01283","oyonnax"
"5","Heures d'ensoleillement","22","50","58","17","02408","laon"
"6","Hauteur de pluie","210","201","150","129","02408","laon"
"7","Heures d'ensoleillement","22","50","58","17","02691","saint-quentin"
"8","Hauteur de pluie","210","201","150","129","02691","saint-quentin"
"9","Heures d'ensoleillement","22","50","58","17","02722","soissons"
"10","Hauteur de pluie","210","201","150","129","02722","soissons"
"11","Heures d'ensoleillement","28","46","63","31","03185","montlucon"
"12","Hauteur de pluie","234","415","254","276","03185","montlucon"
"13","Heures d'ensoleillement","26","47","67","27","03310","vichy"
"14","Hauteur de pluie","189","256","261","185","03310","vichy"
"15","Heures d'ensoleillement","52","69","88","54","04112","manosque"
"16","Hauteur de pluie","255","182","167","225","04112","manosque"
"17","Heures d'ensoleillement","46","59","74","44","05061","gap"
"18","Hauteur de pluie","239","226","124","285","05061","gap"
"19","Heures d'ensoleillement","50","77","93","52","06004","antibes"
"20","Hauteur de pluie","543","159","148","167","06004","antibes"
"21","Heures d'ensoleillement","50","77","93","52","06027","cagnes-sur-mer"
"22","Hauteur de pluie","543","159","148","167","06027","cagnes-sur-mer"
"23","Heures d'ensoleillement","50","77","93","52","06029","cannes"
"24","Hauteur de pluie","543","159","148","167","06029","cannes"
"25","Heures d'ensoleillement","50","77","93","52","06030","le-cannet"
"26","Hauteur de pluie","543","159","148","167","06030","le-cannet"
"27","Heures d'ensoleillement","50","77","93","52","06069","grasse"
"28","Hauteur de pluie","543","159","148","167","06069","grasse"
"29","Heures d'ensoleillement","","","","","06079","mandelieu-la-napoule"
"30","Hauteur de pluie","487","98","257","226","06079","mandelieu-la-napoule"
"31","Heures d'ensoleillement","50","77","93","52","06083","menton"
"32","Hauteur de pluie","543","159","148","167","06083","menton"
"33","Heures d'ensoleillement","50","77","93","52","06088","nice"
"34","Hauteur de pluie","543","159","148","167","06088","nice"
"35","Heures d'ensoleillement","50","77","93","52","06123","saint-laurent-du-var"
"36","Hauteur de pluie","543","159","148","167","06123","saint-laurent-du-var"
"37","Heures d'ensoleillement","50","77","93","52","06155","vallauris"
"38","Hauteur de pluie","543","159","148","167","06155","vallauris"
"39","Heures d'ensoleillement","","46","58","16","08105","charleville-mezieres"
"40","Hauteur de pluie","330","243","317","217","08105","charleville-mezieres"
"41","Heures d'ensoleillement","24","53","64","21","10387","troyes"
"42","Hauteur de pluie","211","189","223","162","10387","troyes"
"43","Heures d'ensoleillement","","","79","34","11069","carcassonne"
"44","Hauteur de pluie","134","152","71","121","11069","carcassonne"
"45","Heures d'ensoleillement","52","69","84","40","11262","narbonne"
"46","Hauteur de pluie","68","138","68","243","11262","narbonne"
"47","Heures d'ensoleillement","33","","79","41","12145","millau"
"48","Hauteur de pluie","170","188","127","246","12145","millau"
"49","Heures d'ensoleillement","33","","79","41","12202","rodez"
"50","Hauteur de pluie","170","188","127","246","12202","rodez"
"51","Heures d'ensoleillement","","88","99","52","13001","aix-en-provence"
"52","Hauteur de pluie","261","69","138","88","13001","aix-en-provence"
"53","Heures d'ensoleillement","","88","99","52","13002","allauch"
"54","Hauteur de pluie","261","69","138","88","13002","allauch"
"55","Heures d'ensoleillement","50","74","89","49","13004","arles"
"56","Hauteur de pluie","318","98","130","149","13004","arles"
"57","Heures d'ensoleillement","","88","99","52","13005","aubagne"
"58","Hauteur de pluie","261","69","138","88","13005","aubagne"
"59","Heures d'ensoleillement","","","","","13028","la-ciotat"
"60","Hauteur de pluie","303","74","70","165","13028","la-ciotat"
"61","Heures d'ensoleillement","","88","99","52","13041","gardanne"
"62","Hauteur de pluie","261","69","138","88","13041","gardanne"
"63","Heures d'ensoleillement","","","","","13047","istres"
"64","Hauteur de pluie","263","87","119","114","13047","istres"
"65","Heures d'ensoleillement","","88","99","52","13054","marignane"
"66","Hauteur de pluie","261","69","138","88","13054","marignane"
"67","Heures d'ensoleillement","","88","99","52","13055","marseille"
