"","0","1","2","3","code_insee","Ville"
"1","Avant 1919","1 165","5","11,8 %","01053","bourg-en-bresse"
"2","De 1919 à 1945","1 170","5","8,6 %","01053","bourg-en-bresse"
"3","De 1946 à 1970","5 575","26","20,8 %","01053","bourg-en-bresse"
"4","De 1971 à 1990","7 192","34","28,6 %","01053","bourg-en-bresse"
"5","De 1991 à 2005","2 736","13","15,9 %","01053","bourg-en-bresse"
"6","Après 2005","2 900","14","14,3 %","01053","bourg-en-bresse"
"7","Avant 1919","390","4","11,8 %","01283","oyonnax"
"8","De 1919 à 1945","729","7","8,6 %","01283","oyonnax"
"9","De 1946 à 1970","3 084","32","20,8 %","01283","oyonnax"
"10","De 1971 à 1990","3 566","37","28,6 %","01283","oyonnax"
"11","De 1991 à 2005","1 206","12","15,9 %","01283","oyonnax"
"12","Après 2005","536","5","14,3 %","01283","oyonnax"
"13","Avant 1919","920","7","11,8 %","02408","laon"
"14","De 1919 à 1945","1 392","11","8,6 %","02408","laon"
"15","De 1946 à 1970","3 819","32","20,8 %","02408","laon"
"16","De 1971 à 1990","4 042","34","28,6 %","02408","laon"
"17","De 1991 à 2005","1 041","8","15,9 %","02408","laon"
"18","Après 2005","533","4","14,3 %","02408","laon"
"19","Avant 1919","1 320","5","11,8 %","02691","saint-quentin"
"20","De 1919 à 1945","6 036","23","8,6 %","02691","saint-quentin"
"21","De 1946 à 1970","9 292","35","20,8 %","02691","saint-quentin"
"22","De 1971 à 1990","5 682","22","28,6 %","02691","saint-quentin"
"23","De 1991 à 2005","2 274","8","15,9 %","02691","saint-quentin"
"24","Après 2005","1 272","4","14,3 %","02691","saint-quentin"
"25","Avant 1919","793","5","11,8 %","02722","soissons"
"26","De 1919 à 1945","1 817","13","8,6 %","02722","soissons"
"27","De 1946 à 1970","4 127","29","20,8 %","02722","soissons"
"28","De 1971 à 1990","4 539","32","28,6 %","02722","soissons"
"29","De 1991 à 2005","1 380","10","15,9 %","02722","soissons"
"30","Après 2005","1 172","8","14,3 %","02722","soissons"
"31","Avant 1919","1 219","6","11,8 %","03185","montlucon"
"32","De 1919 à 1945","2 965","16","8,6 %","03185","montlucon"
"33","De 1946 à 1970","6 890","39","20,8 %","03185","montlucon"
"34","De 1971 à 1990","4 251","24","28,6 %","03185","montlucon"
"35","De 1991 à 2005","1 223","6","15,9 %","03185","montlucon"
"36","Après 2005","1 060","6","14,3 %","03185","montlucon"
"37","Avant 1919","1 774","11","11,8 %","03310","vichy"
"38","De 1919 à 1945","3 848","24","8,6 %","03310","vichy"
"39","De 1946 à 1970","5 293","33","20,8 %","03310","vichy"
"40","De 1971 à 1990","2 717","17","28,6 %","03310","vichy"
"41","De 1991 à 2005","1 138","7","15,9 %","03310","vichy"
"42","Après 2005","944","6","14,3 %","03310","vichy"
"43","Avant 1919","683","6","11,8 %","04112","manosque"
"44","De 1919 à 1945","529","4","8,6 %","04112","manosque"
"45","De 1946 à 1970","3 059","27","20,8 %","04112","manosque"
"46","De 1971 à 1990","2 980","27","28,6 %","04112","manosque"
"47","De 1991 à 2005","1 526","13","15,9 %","04112","manosque"
"48","Après 2005","2 204","20","14,3 %","04112","manosque"
"49","Avant 1919","853","4","11,8 %","05061","gap"
"50","De 1919 à 1945","962","4","8,6 %","05061","gap"
"51","De 1946 à 1970","5 023","24","20,8 %","05061","gap"
"52","De 1971 à 1990","6 942","34","28,6 %","05061","gap"
"53","De 1991 à 2005","3 821","18","15,9 %","05061","gap"
