"","INSEE_COM","Annee","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"228","01053",2019,129403.23,1660.14,77.8
"229","01053",2020,139292.85,1742.86,81.22
"230","01053",2021,151659.26,1968.8,78.48
"231","01053",2022,155890.18,2121.61,74.47
"232","01053",2023,148151.01,2258.12,70.13
"1170","01283",2019,122688.99,1451.14,85.61
"1171","01283",2020,131276.85,1504.75,85.77
"1172","01283",2021,138800.29,1567.54,87.51
"1173","01283",2022,144879.72,1786.37,81.47
"1174","01283",2023,135939.79,1595.7,84.86
"3666","02408",2019,90463.09,1128.55,80.57
"3667","02408",2020,91213.46,1129.32,81.59
"3668","02408",2021,97714.75,1197.05,84.94
"3669","02408",2022,103457.08,1295.78,80.85
"3670","02408",2023,97445.35,1264.09,77.11
"4815","02691",2019,94310.74,1068.72,88.71
"4816","02691",2020,97837.93,1114.96,86.53
"4817","02691",2021,107585.24,1242.1,87.44
"4818","02691",2022,108082.76,1265.48,86.25
"4819","02691",2023,105626.6,1262.6,85.85
"4949","02722",2019,127407.02,1620.2,80.86
"4950","02722",2020,139701.38,1651.19,83.83
"4951","02722",2021,145006.72,1723.61,82.8
"4952","02722",2022,153926.73,1894.65,80.81
"4953","02722",2023,147063.94,1789.45,83.11
"6308","03185",2019,76856.07,937.42,81.69
"6309","03185",2020,77886.01,957.21,79.61
"6310","03185",2021,73506.16,976.19,74.98
"6311","03185",2022,80282.92,989.91,80.19
"6312","03185",2023,76861.29,1013.48,74.91
"6897","03310",2019,104369.34,1386.84,72.39
"6898","03310",2020,111999.46,1465.67,72.99
"6899","03310",2021,122686.33,1724.03,70.35
"6900","03310",2022,132765.27,1841.07,70.76
"6901","03310",2023,133323.86,1911.27,68.56
"7344","04112",2019,152468.29,1987.85,76.96
"7345","04112",2020,161802.51,2042.26,78.26
"7346","04112",2021,168832.46,2156.01,76.77
"7347","04112",2022,177176.91,2249.61,77.15
"7348","04112",2023,183944.09,2424.47,75.07
"8084","05061",2019,169020.09,2216.28,76.58
"8085","05061",2020,170018.15,2195.41,77.79
"8086","05061",2021,189112.81,2422.83,78.26
"8087","05061",2022,202652.57,2619.51,77.96
"8088","05061",2023,188028.17,2549.36,74.16
"8603","06004",2019,285556.76,4590.78,60.4
"8604","06004",2020,304270.34,4784.84,61.13
"8605","06004",2021,327082.2,4982.77,62.57
"8606","06004",2022,349377.49,5337.9,62.68
"8607","06004",2023,356341.9,5479.7,61.53
"8715","06027",2019,249238.71,4192.25,60
"8716","06027",2020,268916.59,4346.77,62.45
"8717","06027",2021,270072.27,4523.86,60.13
"8718","06027",2022,290578.48,4720.38,61.4
"8719","06027",2023,290223.68,4856.15,59.6
"8725","06029",2019,321469.4,5034.58,60.75
"8726","06029",2020,335078.55,5252.18,61.37
"8727","06029",2021,357277.47,5338.44,62.94
"8728","06029",2022,381967.53,5892.38,61.07
"8729","06029",2023,386083.95,6176.31,59.45
"8730","06030",2019,237476.47,3513.13,63.28
"8731","06030",2020,242062.75,3696.96,63.08
"8732","06030",2021,262107.66,3880.29,64.44
"8733","06030",2022,287824.09,4127.81,64.88
"8734","06030",2023,279081,4291.86,61.91
"8911","06069",2019,216902.94,2911.21,72.57
"8912","06069",2020,239248.73,3050.43,74.62
"8913","06069",2021,270184.9,3285.44,76.54
"8914","06069",2022,270058.34,3414.81,73.66
"8915","06069",2023,252406.21,3409.42,69.64
"8958","06079",2019,302322.69,4442.33,64.93
"8959","06079",2020,280577.02,4376.93,62.32
"8960","06079",2021,317479.69,4681.23,65.67
"8961","06079",2022,344551.07,5014.97,65.54
"8962","06079",2023,326325.39,5191.78,59.6
"8976","06083",2019,241140.17,4375.79,55.36
"8977","06083",2020,247308.09,4559.4,54.92
"8978","06083",2021,252391.28,4676.66,54.24
"8979","06083",2022,267078.99,4969.8,53.27
"8980","06083",2023,272286.94,5040.98,53.94
"8998","06088",2019,240221.15,4110.03,58.24
"8999","06088",2020,252221.27,4293.18,58.88
"9000","06088",2021,270224.59,4514.99,59.33
"9001","06088",2022,285178.4,4807.18,58.62
"9002","06088",2023,288199.82,5014.19,56.78
"9166","06123",2019,254575.8,4178.4,61.34
"9167","06123",2020,267561.28,4320.37,63.32
"9168","06123",2021,273118.48,4403.81,63.14
"9169","06123",2022,277801.14,4615.99,60.66
"9170","06123",2023,303709.93,4770.34,63.65
"9323","06155",2019,287389.25,4252.23,62.2
"9324","06155",2020,297413.87,4267.41,63.62
"9325","06155",2021,363501.18,4638.45,68.87
"9326","06155",2022,342220.65,4757.78,63.55
"9327","06155",2023,299373.72,4838.55,56.67
"11323","08105",2019,104706.03,1269.51,82.52
"11324","08105",2020,109295.67,1271.17,85.72
"11325","08105",2021,114214.93,1406.21,82.16
"11326","08105",2022,126008.01,1494.63,83.09
"11327","08105",2023,120247.07,1523.65,78.76
"15680","10387",2019,100713.57,1509.28,67.53
"15681","10387",2020,110612.24,1596.44,69.09
"15682","10387",2021,115573.05,1765.11,67.31
"15683","10387",2022,122288.08,1913.69,65.91
"15684","10387",2023,121757.19,1877.08,65.71
"16221","11069",2019,105135.31,1320.47,80.66
"16222","11069",2020,113963.88,1303.57,84.24
"16223","11069",2021,120814.8,1374.43,84.98
"16224","11069",2022,129718.27,1511.36,83.31
"16225","11069",2023,131881.97,1552.98,82.27
"17042","11262",2019,150385.76,2136.14,70.18
"17043","11262",2020,148453.71,2133.67,69.94
"17044","11262",2021,155909.86,2263.43,69.56
"17045","11262",2022,166596.78,2481.29,67.52
"17046","11262",2023,172423.48,2546.91,68.21
"18455","12145",2019,124108.76,1573.26,77.14
"18456","12145",2020,121370.69,1566.85,76.8
"18457","12145",2021,135148.1,1715.89,77.24
"18458","12145",2022,155413.66,2032.52,77.32
"18459","12145",2023,152275.19,2049.8,73.58
"18715","12202",2019,122044.04,1733.47,70.26
"18716","12202",2020,123780.22,1901.52,66.39
"18717","12202",2021,132495.58,1951.1,70.72
"18718","12202",2022,136534.17,2117.09,65.94
"18719","12202",2023,141074.71,2161.18,66.64
"19194","13001",2019,297758.16,4470.06,65.28
"19195","13001",2020,318782.39,4626.24,67.61
"19196","13001",2021,347305.81,4984.73,67.19
"19197","13001",2022,361007.32,5257.36,67.04
"19198","13001",2023,371189.44,5403.69,66.29
"19199","13002",2019,302017.28,3726.55,83.74
"19200","13002",2020,341014.18,4191.53,83.61
"19201","13002",2021,357402.95,4265.43,85.58
"19202","13002",2022,384070.37,4721.6,82.21
"19203","13002",2023,375300.41,4774.01,81.19
"19209","13004",2019,193708.62,2533.54,77.04
"19210","13004",2020,203796.14,2660.46,77.99
"19211","13004",2021,229399.38,2839.13,80.92
"19212","13004",2022,234139.78,3030.34,78.89
"19213","13004",2023,225519.21,3037.65,74.21
"19214","13005",2019,231029.24,3047.13,75.16
"19215","13005",2020,264116.03,3289.84,78.76
"19216","13005",2021,262736.4,3347.62,77.32
"19217","13005",2022,273976.94,3496.88,76.75
"19218","13005",2023,282362.43,3719.93,73.82
"19329","13028",2019,270013.32,4271.13,63.2
"19330","13028",2020,287728.96,4562.5,62.31
"19331","13028",2021,309039.89,4890.09,64.09
"19332","13028",2022,333938.19,5393.55,61.93
"19333","13028",2023,333169.59,5569.8,59.33
"19394","13041",2019,247384.53,3298.97,75.74
"19395","13041",2020,240267.95,3402.71,72.02
"19396","13041",2021,268624.67,3699.78,75.36
"19397","13041",2022,274215.73,3741.7,75.09
"19398","13041",2023,285510.37,4087.24,70.94
"19424","13047",2019,210214.58,2709.33,78
"19425","13047",2020,215060.62,2776.47,78.25
"19426","13047",2021,245150.53,3032.84,80.88
"19427","13047",2022,247316.01,3218.15,77.67
"19428","13047",2023,258757.39,3338.79,78.5
"19459","13054",2019,207602.39,2717.66,75.8
"19460","13054",2020,216232.08,2806.58,76.17
"19461","13054",2021,215862.82,2894.23,73.77
"19462","13054",2022,230480.48,2958.73,76.83
"19463","13054",2023,232385.29,3301.88,71.73
"19464","13055",2019,194745.11,2862.19,65.77
"19465","13055",2020,204248.05,3055.87,64.95
"19466","13055",2021,216644.63,3238.13,64.78
"19467","13055",2022,229554.69,3516.21,63.53
"19468","13055",2023,232457.04,3585.39,62.95
"19469","13056",2019,215946.23,2882.48,76.63
"19470","13056",2020,213187.43,2886.47,75.5
"19471","13056",2021,232317.23,3123.15,75.85
"19472","13056",2022,255073.37,3444.58,76.13
"19473","13056",2023,254368.65,3632.23,72.88
"19504","13063",2019,192901.17,2528.82,77.29
"19505","13063",2020,197783.56,2532.3,77.9
"19506","13063",2021,197437.68,2710.87,73.66
"19507","13063",2022,211578.07,2900.71,72.31
"19508","13063",2023,195513.53,2666.77,74.06
"19544","13071",2019,289355.6,3565.36,82.55
"19545","13071",2020,297710.5,3588.37,85.33
"19546","13071",2021,335592.63,4086.64,84.94
"19547","13071",2022,352381.23,4053.04,87.54
"19548","13071",2023,328774.42,4049.14,81.2
"19702","13103",2019,200090.38,2635.88,75.6
"19703","13103",2020,204702.32,2749.74,74.45
"19704","13103",2021,217006.5,2944.19,73.21
"19705","13103",2022,243122.08,3326.37,72.9
"19706","13103",2023,240184.6,3185.27,74.28
"19772","13117",2019,223746.54,2891.69,77.14
"19773","13117",2020,237624.8,3096.24,76.86
"19774","13117",2021,260903.52,3277.35,79.68
"19775","13117",2022,252010.62,3396.24,75.24
"19776","13117",2023,273833.76,3643.82,75.99
"20194","14118",2019,152566.89,2391.43,64.7
"20195","14118",2020,166700.23,2627.95,64.45
