Nombre d'enfants,2010,%,2015,%.1,2021,%.2,code_insee,Ville
Ensemble,9526,"100,0",9584,"100,0",9788,"100,0",01053,bourg-en-bresse
Aucun enfant,4759,"50,0",4691,"48,9",4843,"49,5",01053,bourg-en-bresse
1 enfant,2233,"23,4",2188,"22,8",2137,"21,8",01053,bourg-en-bresse
2 enfants,1494,"15,7",1687,"17,6",1460,"14,9",01053,bourg-en-bresse
3 enfants,735,"7,7",742,"7,7",921,"9,4",01053,bourg-en-bresse
4 enfants ou plus,305,"3,2",277,"2,9",427,"4,4",01053,bourg-en-bresse
Ensemble,6202,"100,0",6071,"100,0",5795,"100,0",01283,oyonnax
Aucun enfant,2710,"43,7",2701,"44,5",2605,"44,9",01283,oyonnax
1 enfant,1501,"24,2",1379,"22,7",1127,"19,5",01283,oyonnax
2 enfants,1186,"19,1",1119,"18,4",1011,"17,5",01283,oyonnax
3 enfants,600,"9,7",586,"9,6",723,"12,5",01283,oyonnax
4 enfants ou plus,204,"3,3",287,"4,7",328,"5,7",01283,oyonnax
Ensemble,6430,"100,0",6199,"100,0",5703,"100,0",02408,laon
Aucun enfant,2967,"46,1",2837,"45,8",2728,"47,8",02408,laon
1 enfant,1661,"25,8",1554,"25,1",1311,"23,0",02408,laon
2 enfants,1072,"16,7",1069,"17,3",969,"17,0",02408,laon
3 enfants,481,"7,5",521,"8,4",424,"7,4",02408,laon
4 enfants ou plus,249,"3,9",217,"3,5",271,"4,7",02408,laon
Ensemble,14769,"100,0",14580,"100,0",13442,"100,0",02691,saint-quentin
Aucun enfant,7159,"48,5",6862,"47,1",6449,"48,0",02691,saint-quentin
1 enfant,3514,"23,8",3596,"24,7",3064,"22,8",02691,saint-quentin
2 enfants,2408,"16,3",2444,"16,8",2327,"17,3",02691,saint-quentin
3 enfants,1105,"7,5",1147,"7,9",1072,"8,0",02691,saint-quentin
4 enfants ou plus,582,"3,9",531,"3,6",530,"3,9",02691,saint-quentin
Ensemble,7588,"100,0",7250,"100,0",7237,"100,0",02722,soissons
Aucun enfant,3578,"47,1",3491,"48,1",3489,"48,2",02722,soissons
1 enfant,1831,"24,1",1587,"21,9",1597,"22,1",02722,soissons
2 enfants,1383,"18,2",1250,"17,2",1215,"16,8",02722,soissons
3 enfants,530,"7,0",614,"8,5",547,"7,6",02722,soissons
4 enfants ou plus,266,"3,5",309,"4,3",388,"5,4",02722,soissons
Ensemble,9673,"100,0",8972,"100,0",7834,"100,0",03185,montlucon
Aucun enfant,5379,"55,6",4935,"55,0",4227,"54,0",03185,montlucon
1 enfant,2238,"23,1",2076,"23,1",1775,"22,7",03185,montlucon
2 enfants,1315,"13,6",1306,"14,6",1106,"14,1",03185,montlucon
3 enfants,553,"5,7",478,"5,3",502,"6,4",03185,montlucon
4 enfants ou plus,189,"2,0",177,"2,0",223,"2,8",03185,montlucon
Ensemble,5719,"100,0",5813,"100,0",5945,"100,0",03310,vichy
Aucun enfant,3368,"58,9",3352,"57,7",3697,"62,2",03310,vichy
1 enfant,1350,"23,6",1362,"23,4",1134,"19,1",03310,vichy
2 enfants,679,"11,9",740,"12,7",720,"12,1",03310,vichy
3 enfants,229,"4,0",255,"4,4",284,"4,8",03310,vichy
4 enfants ou plus,93,"1,6",104,"1,8",109,"1,8",03310,vichy
Ensemble,6067,"100,0",5872,"100,0",6289,"100,0",04112,manosque
Aucun enfant,3042,"50,1",3118,"53,1",3132,"49,8",04112,manosque
