Catégorie ou type de logement,2010,%,2015,%,2021,%,code_insee,Ville
Ensemble,21 899,"100,0",23 194,"100,0",23 723,"100,0",01053,bourg-en-bresse
Résidences principales,19 432,"88,7",20 150,"86,9",20 804,"87,7",01053,bourg-en-bresse
Résidences secondaires et logements occasionnels,449,"2,0",546,"2,4",551,"2,3",01053,bourg-en-bresse
Logements vacants,2 018,"9,2",2 498,"10,8",2 367,"10,0",01053,bourg-en-bresse
,,,,,,,01053,bourg-en-bresse
Maisons,4 901,"22,4",4 924,"21,2",4 886,"20,6",01053,bourg-en-bresse
Appartements,16 839,"76,9",18 073,"77,9",18 695,"78,8",01053,bourg-en-bresse
Ensemble,10 901,"100,0",10 904,"100,0",11 305,"100,0",01283,oyonnax
Résidences principales,9 476,"86,9",9 388,"86,1",9 568,"84,6",01283,oyonnax
Résidences secondaires et logements occasionnels,171,"1,6",226,"2,1",235,"2,1",01283,oyonnax
Logements vacants,1 253,"11,5",1 290,"11,8",1 502,"13,3",01283,oyonnax
,,,,,,,01283,oyonnax
Maisons,2 892,"26,5",3 069,"28,1",3 014,"26,7",01283,oyonnax
Appartements,7 694,"70,6",7 768,"71,2",8 177,"72,3",01283,oyonnax
Ensemble,13 223,"100,0",13 631,"100,0",13 543,"100,0",02408,laon
Résidences principales,11 855,"89,7",12 076,"88,6",11 765,"86,9",02408,laon
Résidences secondaires et logements occasionnels,156,"1,2",167,"1,2",206,"1,5",02408,laon
Logements vacants,1 212,"9,2",1 388,"10,2",1 572,"11,6",02408,laon
,,,,,,,02408,laon
Maisons,5 760,"43,6",5 713,"41,9",5 559,"41,1",02408,laon
Appartements,7 429,"56,2",7 843,"57,5",7 935,"58,6",02408,laon
Ensemble,29 208,"100,0",29 992,"100,0",30 609,"100,0",02691,saint-quentin
Résidences principales,25 799,"88,3",26 160,"87,2",26 017,"85,0",02691,saint-quentin
Résidences secondaires et logements occasionnels,243,"0,8",258,"0,9",467,"1,5",02691,saint-quentin
Logements vacants,3 166,"10,8",3 574,"11,9",4 124,"13,5",02691,saint-quentin
,,,,,,,02691,saint-quentin
Maisons,15 428,"52,8",15 526,"51,8",15 075,"49,2",02691,saint-quentin
Appartements,13 611,"46,6",14 312,"47,7",15 264,"49,9",02691,saint-quentin
Ensemble,14 361,"100,0",14 673,"100,0",15 324,"100,0",02722,soissons
Résidences principales,13 062,"91,0",13 396,"91,3",13 893,"90,7",02722,soissons
Résidences secondaires et logements occasionnels,137,"1,0",175,"1,2",219,"1,4",02722,soissons
Logements vacants,1 162,"8,1",1 102,"7,5",1 212,"7,9",02722,soissons
,,,,,,,02722,soissons
Maisons,4 744,"33,0",4 605,"31,4",4 854,"31,7",02722,soissons
Appartements,9 487,"66,1",9 927,"67,7",10 315,"67,3",02722,soissons
Ensemble,23 660,"100,0",24 190,"100,0",24 008,"100,0",03185,montlucon
Résidences principales,19 963,"84,4",19 422,"80,3",17 656,"73,5",03185,montlucon
Résidences secondaires et logements occasionnels,445,"1,9",496,"2,1",703,"2,9",03185,montlucon
Logements vacants,3 252,"13,7",4 272,"17,7",5 649,"23,5",03185,montlucon
,,,,,,,03185,montlucon
Maisons,9 548,"40,4",10 006,"41,4",10 004,"41,7",03185,montlucon
Appartements,14 022,"59,3",14 084,"58,2",13 667,"56,9",03185,montlucon
Ensemble,20 672,"100,0",21 023,"100,0",22 412,"100,0",03310,vichy
Résidences principales,14 778,"71,5",14 977,"71,2",15 774,"70,4",03310,vichy
Résidences secondaires et logements occasionnels,1 337,"6,5",1 687,"8,0",1 958,"8,7",03310,vichy
Logements vacants,4 556,"22,0",4 360,"20,7",4 681,"20,9",03310,vichy
,,,,,,,03310,vichy
Maisons,4 697,"22,7",4 723,"22,5",4 568,"20,4",03310,vichy
Appartements,15 770,"76,3",16 102,"76,6",17 638,"78,7",03310,vichy
Ensemble,11 301,"100,0",12 435,"100,0",13 224,"100,0",04112,manosque
Résidences principales,10 157,"89,9",10 340,"83,2",11 102,"84,0",04112,manosque
Résidences secondaires et logements occasionnels,207,"1,8",411,"3,3",475,"3,6",04112,manosque
Logements vacants,936,"8,3",1 684,"13,5",1 646,"12,4",04112,manosque
,,,,,,,04112,manosque
Maisons,4 877,"43,2",5 320,"42,8",5 410,"40,9",04112,manosque
Appartements,6 385,"56,5",6 989,"56,2",7 762,"58,7",04112,manosque
Ensemble,21 209,"100,0",22 011,"100,0",23 215,"100,0",05061,gap
Résidences principales,18 546,"87,4",19 378,"88,0",20 458,"88,1",05061,gap
Résidences secondaires et logements occasionnels,789,"3,7",859,"3,9",855,"3,7",05061,gap
Logements vacants,1 873,"8,8",1 774,"8,1",1 902,"8,2",05061,gap
,,,,,,,05061,gap
Maisons,7 383,"34,8",7 092,"32,2",8 104,"34,9",05061,gap
Appartements,13 740,"64,8",14 845,"67,4",14 928,"64,3",05061,gap
Ensemble,58 524,"100,0",62 032,"100,0",64 600,"100,0",06004,antibes
Résidences principales,36 820,"62,9",37 118,"59,8",38 616,"59,8",06004,antibes
Résidences secondaires et logements occasionnels,18 177,"31,1",21 090,"34,0",22 384,"34,7",06004,antibes
Logements vacants,3 527,"6,0",3 824,"6,2",3 600,"5,6",06004,antibes
,,,,,,,06004,antibes
Maisons,9 766,"16,7",10 050,"16,2",9 323,"14,4",06004,antibes
Appartements,48 284,"82,5",51 623,"83,2",54 894,"85,0",06004,antibes
Ensemble,29 449,"100,0",30 764,"100,0",32 683,"100,0",06027,cagnes-sur-mer
Résidences principales,23 080,"78,4",23 942,"77,8",26 138,"80,0",06027,cagnes-sur-mer
Résidences secondaires et logements occasionnels,4 650,"15,8",4 983,"16,2",4 942,"15,1",06027,cagnes-sur-mer
Logements vacants,1 718,"5,8",1 839,"6,0",1 602,"4,9",06027,cagnes-sur-mer
,,,,,,,06027,cagnes-sur-mer
Maisons,7 092,"24,1",7 347,"23,9",7 254,"22,2",06027,cagnes-sur-mer
Appartements,22 107,"75,1",23 315,"75,8",25 316,"77,5",06027,cagnes-sur-mer
Ensemble,70 204,"100,0",71 725,"100,0",72 495,"100,0",06029,cannes
Résidences principales,37 345,"53,2",38 311,"53,4",37 720,"52,0",06029,cannes
Résidences secondaires et logements occasionnels,28 196,"40,2",30 808,"43,0",32 940,"45,4",06029,cannes
Logements vacants,4 663,"6,6",2 605,"3,6",1 835,"2,5",06029,cannes
,,,,,,,06029,cannes
Maisons,6 436,"9,2",5 261,"7,3",4 772,"6,6",06029,cannes
Appartements,63 089,"89,9",65 965,"92,0",67 223,"92,7",06029,cannes
Ensemble,25 896,"100,0",26 169,"100,0",26 509,"100,0",06030,le-cannet
Résidences principales,20 851,"80,5",21 268,"81,3",20 959,"79,1",06030,le-cannet
Résidences secondaires et logements occasionnels,3 844,"14,8",3 981,"15,2",3 956,"14,9",06030,le-cannet
Logements vacants,1 202,"4,6",921,"3,5",1 594,"6,0",06030,le-cannet
,,,,,,,06030,le-cannet
Maisons,4 143,"16,0",4 039,"15,4",3 818,"14,4",06030,le-cannet
Appartements,21 664,"83,7",21 909,"83,7",22 584,"85,2",06030,le-cannet
Ensemble,25 202,"100,0",25 806,"100,0",26 187,"100,0",06069,grasse
Résidences principales,21 378,"84,8",21 411,"83,0",20 759,"79,3",06069,grasse
Résidences secondaires et logements occasionnels,1 436,"5,7",1 899,"7,4",3 099,"11,8",06069,grasse
Logements vacants,2 388,"9,5",2 496,"9,7",2 329,"8,9",06069,grasse
,,,,,,,06069,grasse
Maisons,8 814,"35,0",9 126,"35,4",9 239,"35,3",06069,grasse
Appartements,16 219,"64,4",16 613,"64,4",16 838,"64,3",06069,grasse
Ensemble,20 091,"100,0",20 999,"100,0",21 759,"100,0",06079,mandelieu-la-napoule
Résidences principales,11 159,"55,5",11 575,"55,1",11 136,"51,2",06079,mandelieu-la-napoule
Résidences secondaires et logements occasionnels,7 950,"39,6",8 339,"39,7",9 554,"43,9",06079,mandelieu-la-napoule
Logements vacants,982,"4,9",1 085,"5,2",1 069,"4,9",06079,mandelieu-la-napoule
,,,,,,,06079,mandelieu-la-napoule
Maisons,3 366,"16,8",3 239,"15,4",3 821,"17,6",06079,mandelieu-la-napoule
Appartements,16 648,"82,9",17 384,"82,8",17 869,"82,1",06079,mandelieu-la-napoule
Ensemble,26 357,"100,0",28 406,"100,0",29 347,"100,0",06083,menton
Résidences principales,13 881,"52,7",13 497,"47,5",14 893,"50,7",06083,menton
Résidences secondaires et logements occasionnels,10 998,"41,7",12 532,"44,1",12 330,"42,0",06083,menton
Logements vacants,1 477,"5,6",2 377,"8,4",2 124,"7,2",06083,menton
,,,,,,,06083,menton
Maisons,2 824,"10,7",2 883,"10,2",2 797,"9,5",06083,menton
Appartements,23 480,"89,1",25 387,"89,4",26 359,"89,8",06083,menton
Ensemble,222 067,"100,0",227 692,"100,0",236 040,"100,0",06088,nice
Résidences principales,165 754,"74,6",166 743,"73,2",171 606,"72,7",06088,nice
Résidences secondaires et logements occasionnels,28 206,"12,7",30 084,"13,2",32 012,"13,6",06088,nice
Logements vacants,28 106,"12,7",30 865,"13,6",32 422,"13,7",06088,nice
,,,,,,,06088,nice
Maisons,17 103,"7,7",16 610,"7,3",15 832,"6,7",06088,nice
Appartements,202 534,"91,2",208 869,"91,7",218 419,"92,5",06088,nice
Ensemble,17 061,"100,0",17 622,"100,0",18 998,"100,0",06123,saint-laurent-du-var
Résidences principales,14 104,"82,7",13 933,"79,1",15 019,"79,1",06123,saint-laurent-du-var
Résidences secondaires et logements occasionnels,1 666,"9,8",2 003,"11,4",2 142,"11,3",06123,saint-laurent-du-var
Logements vacants,1 291,"7,6",1 686,"9,6",1 836,"9,7",06123,saint-laurent-du-var
,,,,,,,06123,saint-laurent-du-var
Maisons,3 186,"18,7",3 212,"18,2",2 871,"15,1",06123,saint-laurent-du-var
Appartements,13 826,"81,0",14 374,"81,6",16 057,"84,5",06123,saint-laurent-du-var
Ensemble,19 259,"100,0",19 845,"100,0",20 520,"100,0",06155,vallauris
Résidences principales,12 356,"64,2",11 954,"60,2",13 446,"65,5",06155,vallauris
Résidences secondaires et logements occasionnels,5 326,"27,7",6 025,"30,4",5 762,"28,1",06155,vallauris
Logements vacants,1 577,"8,2",1 867,"9,4",1 312,"6,4",06155,vallauris
,,,,,,,06155,vallauris
Maisons,4 750,"24,7",5 144,"25,9",5 081,"24,8",06155,vallauris
Appartements,14 410,"74,8",14 605,"73,6",15 375,"74,9",06155,vallauris
Ensemble,26 202,"100,0",25 972,"100,0",26 481,"100,0",08105,charleville-mezieres
Résidences principales,23 474,"89,6",23 073,"88,8",22 554,"85,2",08105,charleville-mezieres
Résidences secondaires et logements occasionnels,405,"1,5",237,"0,9",498,"1,9",08105,charleville-mezieres
Logements vacants,2 323,"8,9",2 662,"10,3",3 429,"13,0",08105,charleville-mezieres
,,,,,,,08105,charleville-mezieres
Maisons,8 409,"32,1",8 491,"32,7",8 704,"32,9",08105,charleville-mezieres
Appartements,17 542,"66,9",17 285,"66,6",17 609,"66,5",08105,charleville-mezieres
Ensemble,33 867,"100,0",36 833,"100,0",38 475,"100,0",10387,troyes
Résidences principales,30 105,"88,9",32 048,"87,0",33 361,"86,7",10387,troyes
Résidences secondaires et logements occasionnels,475,"1,4",973,"2,6",1 843,"4,8",10387,troyes
Logements vacants,3 288,"9,7",3 812,"10,4",3 271,"8,5",10387,troyes
,,,,,,,10387,troyes
Maisons,7 214,"21,3",7 851,"21,3",7 676,"20,0",10387,troyes
Appartements,26 278,"77,6",28 462,"77,3",30 396,"79,0",10387,troyes
Ensemble,26 391,"100,0",27 120,"100,0",27 482,"100,0",11069,carcassonne
Résidences principales,22 064,"83,6",22 279,"82,2",23 315,"84,8",11069,carcassonne
Résidences secondaires et logements occasionnels,720,"2,7",993,"3,7",1 432,"5,2",11069,carcassonne
Logements vacants,3 608,"13,7",3 848,"14,2",2 735,"10,0",11069,carcassonne
