Maisons,Appartements,code_insee,Ville
4886,18695,01053,bourg-en-bresse
3014,8177,01283,oyonnax
5559,7935,02408,laon
15075,15264,02691,saint-quentin
4854,10315,02722,soissons
10004,13667,03185,montlucon
4568,17638,03310,vichy
5410,7762,04112,manosque
8104,14928,05061,gap
9323,54894,06004,antibes
7254,25316,06027,cagnes-sur-mer
4772,67223,06029,cannes
3818,22584,06030,le-cannet
9239,16838,06069,grasse
3821,17869,06079,mandelieu-la-napoule
2797,26359,06083,menton
15832,218419,06088,nice
2871,16057,06123,saint-laurent-du-var
5081,15375,06155,vallauris
8704,17609,08105,charleville-mezieres
7676,30396,10387,troyes
13744,13576,11069,carcassonne
14881,23701,11262,narbonne
6042,7228,12145,millau
2968,13537,12202,rodez
17578,69578,13001,aix-en-provence
7241,2622,13002,allauch
16113,12301,13004,arles
8527,13985,13005,aubagne
7106,16783,13028,la-ciotat
4734,5462,13041,gardanne
10348,10671,13047,istres
6522,9097,13054,marignane
68887,389948,13055,marseille
10129,15623,13056,martigues
5531,6392,13063,miramas
7320,2526,13071,les-pennes-mirabeau
8199,14670,13103,salon-de-provence
6654,8826,13117,vitrolles
10665,57563,14118,caen
2345,9448,14327,herouville-saint-clair
4899,12504,15014,aurillac
11243,14907,16015,angouleme
7398,8393,17299,rochefort
16807,37785,17300,la-rochelle
9188,6591,17415,saintes
16812,21341,18033,bourges
10053,5062,18279,vierzon
13893,14827,19031,brive-la-gaillarde
4704,7420,21054,beaune
14117,83746,21231,dijon
7170,4602,22113,lannion
10906,16298,22278,saint-brieuc
10640,6277,24037,bergerac
5854,14540,24322,perigueux
9083,62594,25056,besancon
2871,10708,25388,montbeliard
9663,11846,26198,montelimar
7258,11170,26281,romans-sur-isere
8777,29232,26362,valence
7681,18454,27229,evreux
5290,7132,27681,vernon
6568,16310,28085,chartres
5868,8181,28134,dreux
20978,63225,29019,brest
8397,5692,29039,concarneau
17915,20577,29232,quimper
3912,31726,2A004,ajaccio
1833,19480,2B033,bastia
9374,15977,30007,ales
24792,58912,30189,nimes
4546,9658,31069,blagnac
7990,10869,31149,colomiers
5204,4313,31157,cugnaux
6531,5942,31395,muret
47892,261587,31555,toulouse
8201,5911,31557,tournefeuille
6410,7309,32013,auch
7454,8482,33039,begles
34440,129827,33063,bordeaux
5750,7366,33069,le-bouscat
3956,6242,33075,bruges
4345,9483,33119,cenon
6113,5627,33162,eysines
5923,7118,33192,gradignan
10480,2555,33199,gujan-mestras
7477,6594,33243,libourne
2877,8260,33249,lormont
14734,26256,33281,merignac
15899,17290,33318,pessac
11011,3442,33449,saint-medard-en-jalles
7723,19479,33522,talence
13487,5940,33529,la-teste-de-buch
10143,10051,33550,villenave-d-ornon
14298,35483,34003,agde
17310,30107,34032,beziers
