"","Type de ménages","2010","%1","2015","%2","2021","%3","code_insee","Ville"
"1","Ménages d'une personne","9 497","48,9","10 148","50,4","10 862","51,9","01053","bourg-en-bresse"
"2","Autres ménages sans famille","440","2,3","474","2,4","299","1,4","01053","bourg-en-bresse"
"3","Couples sans enfant","4 318","22,2","4 188","20,8","4 248","20,3","01053","bourg-en-bresse"
"4","Couples avec enfant(s)","3 536","18,2","3 481","17,3","3 328","15,9","01053","bourg-en-bresse"
"5","Familles monoparentales","1 639","8,4","1 859","9,2","2 183","10,4","01053","bourg-en-bresse"
"6","Ménages d'une personne","3 188","33,6","3 188","34,0","3 635","38,4","01283","oyonnax"
"7","Autres ménages sans famille","143","1,5","167","1,8","85","0,9","01283","oyonnax"
"8","Couples sans enfant","2 328","24,6","2 336","24,9","2 137","22,6","01283","oyonnax"
"9","Couples avec enfant(s)","2 950","31,1","2 825","30,1","2 653","28,0","01283","oyonnax"
"10","Familles monoparentales","868","9,2","870","9,3","953","10,1","01283","oyonnax"
"11","Ménages d'une personne","5 173","43,6","5 590","46,3","5 975","50,8","02408","laon"
"12","Autres ménages sans famille","298","2,5","316","2,6","143","1,2","02408","laon"
"13","Couples sans enfant","2 682","22,6","2 536","21,0","2 381","20,2","02408","laon"
"14","Couples avec enfant(s)","2 367","20,0","2 169","18,0","1 824","15,5","02408","laon"
"15","Familles monoparentales","1 336","11,3","1 469","12,2","1 447","12,3","02408","laon"
"16","Ménages d'une personne","10 520","40,8","11 041","42,2","12 300","47,3","02691","saint-quentin"
"17","Autres ménages sans famille","583","2,3","591","2,3","363","1,4","02691","saint-quentin"
"18","Couples sans enfant","6 285","24,4","5 912","22,6","5 600","21,5","02691","saint-quentin"
"19","Couples avec enfant(s)","5 449","21,1","5 372","20,5","4 644","17,9","02691","saint-quentin"
"20","Familles monoparentales","2 962","11,5","3 239","12,4","3 107","11,9","02691","saint-quentin"
"21","Ménages d'une personne","5 266","40,3","5 950","44,4","6 561","47,3","02722","soissons"
"22","Autres ménages sans famille","245","1,9","243","1,8","141","1,0","02722","soissons"
"23","Couples sans enfant","3 098","23,7","3 031","22,6","2 937","21,2","02722","soissons"
"24","Couples avec enfant(s)","2 968","22,7","2 699","20,2","2 484","17,9","02722","soissons"
"25","Familles monoparentales","1 484","11,4","1 470","11,0","1 753","12,6","02722","soissons"
"26","Ménages d'une personne","9 922","49,7","10 188","52,5","9 701","54,7","03185","montlucon"
"27","Autres ménages sans famille","413","2,1","296","1,5","246","1,4","03185","montlucon"
"28","Couples sans enfant","4 831","24,2","4 386","22,6","3 684","20,8","03185","montlucon"
"29","Couples avec enfant(s)","3 035","15,2","2 756","14,2","2 407","13,6","03185","montlucon"
"30","Familles monoparentales","1 761","8,8","1 796","9,2","1 696","9,6","03185","montlucon"
"31","Ménages d'une personne","8 784","59,4","8 878","59,3","9 690","61,0","03310","vichy"
"32","Autres ménages sans famille","290","2,0","297","2,0","270","1,7","03310","vichy"
"33","Couples sans enfant","3 023","20,5","3 055","20,4","3 306","20,8","03310","vichy"
"34","Couples avec enfant(s)","1 455","9,8","1 502","10,0","1 374","8,6","03310","vichy"
"35","Familles monoparentales","1 225","8,3","1 245","8,3","1 245","7,8","03310","vichy"
"36","Ménages d'une personne","3 948","38,9","4 205","40,7","4 836","43,1","04112","manosque"
"37","Autres ménages sans famille","183","1,8","290","2,8","137","1,2","04112","manosque"
"38","Couples sans enfant","2 673","26,3","2 770","26,8","2 722","24,3","04112","manosque"
"39","Couples avec enfant(s)","2 378","23,4","2 015","19,5","2 330","20,8","04112","manosque"
"40","Familles monoparentales","972","9,6","1 055","10,2","1 189","10,6","04112","manosque"
"41","Ménages d'une personne","7 345","39,6","8 024","41,4","9 350","45,5","05061","gap"
"42","Autres ménages sans famille","318","1,7","398","2,1","239","1,2","05061","gap"
"43","Couples sans enfant","5 043","27,2","4 827","24,9","5 412","26,4","05061","gap"
"44","Couples avec enfant(s)","4 078","22,0","4 093","21,1","3 602","17,5","05061","gap"
"45","Familles monoparentales","1 762","9,5","2 033","10,5","1 926","9,4","05061","gap"
"46","Ménages d'une personne","15 077","40,9","15 503","41,8","18 023","46,0","06004","antibes"
"47","Autres ménages sans famille","1 150","3,1","911","2,5","651","1,7","06004","antibes"
"48","Couples sans enfant","10 289","27,9","9 916","26,7","9 539","24,4","06004","antibes"
"49","Couples avec enfant(s)","7 015","19,1","7 317","19,7","7 153","18,3","06004","antibes"
"50","Familles monoparentales","3 288","8,9","3 471","9,4","3 784","9,7","06004","antibes"
"51","Ménages d'une personne","9 255","40,1","9 671","40,4","11 445","43,8","06027","cagnes-sur-mer"
"52","Autres ménages sans famille","629","2,7","537","2,2","350","1,3","06027","cagnes-sur-mer"
"53","Couples sans enfant","6 660","28,9","6 491","27,1","6 523","25,0","06027","cagnes-sur-mer"
"54","Couples avec enfant(s)","4 595","19,9","5 106","21,3","5 049","19,3","06027","cagnes-sur-mer"
"55","Familles monoparentales","1 934","8,4","2 136","8,9","2 758","10,6","06027","cagnes-sur-mer"
"56","Ménages d'une personne","17 154","45,9","18 381","48,0","18 324","48,4","06029","cannes"
"57","Autres ménages sans famille","1 159","3,1","988","2,6","516","1,4","06029","cannes"
"58","Couples sans enfant","9 018","24,1","8 873","23,2","8 576","22,6","06029","cannes"
"59","Couples avec enfant(s)","6 494","17,4","6 211","16,2","6 086","16,1","06029","cannes"
"60","Familles monoparentales","3 522","9,4","3 856","10,1","4 378","11,6","06029","cannes"
"61","Ménages d'une personne","8 937","42,9","10 003","47,0","9 388","45,0","06030","le-cannet"
"62","Autres ménages sans famille","560","2,7","596","2,8","329","1,6","06030","le-cannet"
"63","Couples sans enfant","5 257","25,2","4 893","23,0","4 867","23,3","06030","le-cannet"
"64","Couples avec enfant(s)","4 226","20,3","3 870","18,2","3 933","18,8","06030","le-cannet"
"65","Familles monoparentales","1 871","9,0","1 899","8,9","2 363","11,3","06030","le-cannet"
"66","Ménages d'une personne","6 985","32,7","7 238","33,8","7 288","34,8","06069","grasse"
"67","Autres ménages sans famille","547","2,6","542","2,5","294","1,4","06069","grasse"
"68","Couples sans enfant","5 182","24,2","5 188","24,2","5 131","24,5","06069","grasse"
"69","Couples avec enfant(s)","6 243","29,2","5 928","27,7","5 869","28,0","06069","grasse"
"70","Familles monoparentales","2 421","11,3","2 512","11,7","2 381","11,4","06069","grasse"
"71","Ménages d'une personne","4 385","39,3","4 919","42,5","4 566","42,0","06079","mandelieu-la-napoule"
"72","Autres ménages sans famille","263","2,4","247","2,1","100","0,9","06079","mandelieu-la-napoule"
"73","Couples sans enfant","3 549","31,8","3 395","29,3","3 363","30,9","06079","mandelieu-la-napoule"
"74","Couples avec enfant(s)","2 068","18,5","2 047","17,7","1 889","17,4","06079","mandelieu-la-napoule"
"75","Familles monoparentales","891","8,0","966","8,3","954","8,8","06079","mandelieu-la-napoule"
"76","Ménages d'une personne","5 466","39,4","5 079","37,6","6 214","41,6","06083","menton"
"77","Autres ménages sans famille","355","2,6","354","2,6","194","1,3","06083","menton"
"78","Couples sans enfant","3 608","26,0","3 688","27,3","3 846","25,8","06083","menton"
"79","Couples avec enfant(s)","3 163","22,8","3 057","22,7","3 185","21,3","06083","menton"
"80","Familles monoparentales","1 291","9,3","1 317","9,8","1 497","10,0","06083","menton"
"81","Ménages d'une personne","71 693","43,3","74 283","44,5","79 431","46,1","06088","nice"
"82","Autres ménages sans famille","5 845","3,5","5 449","3,3","3 236","1,9","06088","nice"
"83","Couples sans enfant","37 917","22,9","36 419","21,8","37 487","21,7","06088","nice"
"84","Couples avec enfant(s)","33 733","20,4","32 961","19,8","33 066","19,2","06088","nice"
"85","Familles monoparentales","16 567","10,0","17 629","10,6","19 227","11,1","06088","nice"
"86","Ménages d'une personne","5 145","36,5","5 259","37,7","6 176","40,1","06123","saint-laurent-du-var"
"87","Autres ménages sans famille","242","1,7","242","1,7","161","1,0","06123","saint-laurent-du-var"
"88","Couples sans enfant","3 970","28,2","3 928","28,2","4 027","26,2","06123","saint-laurent-du-var"
"89","Couples avec enfant(s)","3 383","24,0","3 128","22,5","3 315","21,5","06123","saint-laurent-du-var"
"90","Familles monoparentales","1 363","9,7","1 374","9,9","1 706","11,1","06123","saint-laurent-du-var"
"91","Ménages d'une personne","4 123","33,4","4 288","35,9","5 458","40,4","06155","vallauris"
"92","Autres ménages sans famille","333","2,7","255","2,1","203","1,5","06155","vallauris"
"93","Couples sans enfant","3 588","29,0","3 529","29,5","3 631","26,9","06155","vallauris"
