0,1,2,code_insee,Ville
Nombre moyen d'habitant(s) par logement,"1,8","1,8",01053,bourg-en-bresse
Nombre moyen d'habitant(s) par logement,"2,0","1,8",01283,oyonnax
Nombre moyen d'habitant(s) par logement,"1,8","1,8",02408,laon
Nombre moyen d'habitant(s) par logement,"1,7","1,8",02691,saint-quentin
Nombre moyen d'habitant(s) par logement,"1,9","1,8",02722,soissons
Nombre moyen d'habitant(s) par logement,"1,4","1,8",03185,montlucon
Nombre moyen d'habitant(s) par logement,"1,2","1,8",03310,vichy
Nombre moyen d'habitant(s) par logement,"1,7","1,8",04112,manosque
Nombre moyen d'habitant(s) par logement,"1,7","1,8",05061,gap
Nombre moyen d'habitant(s) par logement,"1,2","1,8",06004,antibes
Nombre moyen d'habitant(s) par logement,"1,6","1,8",06027,cagnes-sur-mer
Nombre moyen d'habitant(s) par logement,"1,0","1,8",06029,cannes
Nombre moyen d'habitant(s) par logement,"1,6","1,8",06030,le-cannet
Nombre moyen d'habitant(s) par logement,"1,8","1,8",06069,grasse
Nombre moyen d'habitant(s) par logement,"1,0","1,8",06079,mandelieu-la-napoule
Nombre moyen d'habitant(s) par logement,"1,0","1,8",06083,menton
Nombre moyen d'habitant(s) par logement,"1,5","1,8",06088,nice
Nombre moyen d'habitant(s) par logement,"1,6","1,8",06123,saint-laurent-du-var
Nombre moyen d'habitant(s) par logement,"1,4","1,8",06155,vallauris
Nombre moyen d'habitant(s) par logement,"1,8","1,8",08105,charleville-mezieres
Nombre moyen d'habitant(s) par logement,"1,6","1,8",10387,troyes
Nombre moyen d'habitant(s) par logement,"1,7","1,8",11069,carcassonne
Nombre moyen d'habitant(s) par logement,"1,4","1,8",11262,narbonne
Nombre moyen d'habitant(s) par logement,"1,6","1,8",12145,millau
Nombre moyen d'habitant(s) par logement,"1,5","1,8",12202,rodez
Nombre moyen d'habitant(s) par logement,"1,7","1,8",13001,aix-en-provence
Nombre moyen d'habitant(s) par logement,"2,2","1,8",13002,allauch
Nombre moyen d'habitant(s) par logement,"1,8","1,8",13004,arles
Nombre moyen d'habitant(s) par logement,"2,1","1,8",13005,aubagne
Nombre moyen d'habitant(s) par logement,"1,5","1,8",13028,la-ciotat
Nombre moyen d'habitant(s) par logement,"2,1","1,8",13041,gardanne
Nombre moyen d'habitant(s) par logement,"2,1","1,8",13047,istres
Nombre moyen d'habitant(s) par logement,"2,1","1,8",13054,marignane
Nombre moyen d'habitant(s) par logement,"1,9","1,8",13055,marseille
Nombre moyen d'habitant(s) par logement,"1,9","1,8",13056,martigues
Nombre moyen d'habitant(s) par logement,"2,2","1,8",13063,miramas
Nombre moyen d'habitant(s) par logement,"2,2","1,8",13071,les-pennes-mirabeau
Nombre moyen d'habitant(s) par logement,"1,9","1,8",13103,salon-de-provence
Nombre moyen d'habitant(s) par logement,"2,3","1,8",13117,vitrolles
Nombre moyen d'habitant(s) par logement,"1,5","1,8",14118,caen
Nombre moyen d'habitant(s) par logement,"1,9","1,8",14327,herouville-saint-clair
Nombre moyen d'habitant(s) par logement,"1,5","1,8",15014,aurillac
Nombre moyen d'habitant(s) par logement,"1,6","1,8",16015,angouleme
Nombre moyen d'habitant(s) par logement,"1,5","1,8",17299,rochefort
Nombre moyen d'habitant(s) par logement,"1,4","1,8",17300,la-rochelle
Nombre moyen d'habitant(s) par logement,"1,6","1,8",17415,saintes
Nombre moyen d'habitant(s) par logement,"1,7","1,8",18033,bourges
Nombre moyen d'habitant(s) par logement,"1,7","1,8",18279,vierzon
Nombre moyen d'habitant(s) par logement,"1,6","1,8",19031,brive-la-gaillarde
Nombre moyen d'habitant(s) par logement,"1,6","1,8",21054,beaune
Nombre moyen d'habitant(s) par logement,"1,6","1,8",21231,dijon
Nombre moyen d'habitant(s) par logement,"1,7","1,8",22113,lannion
Nombre moyen d'habitant(s) par logement,"1,6","1,8",22278,saint-brieuc
Nombre moyen d'habitant(s) par logement,"1,6","1,8",24037,bergerac
Nombre moyen d'habitant(s) par logement,"1,4","1,8",24322,perigueux
Nombre moyen d'habitant(s) par logement,"1,6","1,8",25056,besancon
Nombre moyen d'habitant(s) par logement,"1,9","1,8",25388,montbeliard
Nombre moyen d'habitant(s) par logement,"1,9","1,8",26198,montelimar
Nombre moyen d'habitant(s) par logement,"1,8","1,8",26281,romans-sur-isere
Nombre moyen d'habitant(s) par logement,"1,7","1,8",26362,valence
Nombre moyen d'habitant(s) par logement,"1,8","1,8",27229,evreux
Nombre moyen d'habitant(s) par logement,"2,0","1,8",27681,vernon
Nombre moyen d'habitant(s) par logement,"1,7","1,8",28085,chartres
Nombre moyen d'habitant(s) par logement,"2,2","1,8",28134,dreux
Nombre moyen d'habitant(s) par logement,"1,6","1,8",29019,brest
Nombre moyen d'habitant(s) par logement,"1,4","1,8",29039,concarneau
Nombre moyen d'habitant(s) par logement,"1,6","1,8",29232,quimper
Nombre moyen d'habitant(s) par logement,"2,1","1,8",2A004,ajaccio
Nombre moyen d'habitant(s) par logement,"2,3","1,8",2B033,bastia
Nombre moyen d'habitant(s) par logement,"1,7","1,8",30007,ales
Nombre moyen d'habitant(s) par logement,"1,8","1,8",30189,nimes
Nombre moyen d'habitant(s) par logement,"1,9","1,8",31069,blagnac
Nombre moyen d'habitant(s) par logement,"2,1","1,8",31149,colomiers
Nombre moyen d'habitant(s) par logement,"2,1","1,8",31157,cugnaux
Nombre moyen d'habitant(s) par logement,"2,0","1,8",31395,muret
Nombre moyen d'habitant(s) par logement,"1,6","1,8",31555,toulouse
Nombre moyen d'habitant(s) par logement,"2,1","1,8",31557,tournefeuille
Nombre moyen d'habitant(s) par logement,"1,7","1,8",32013,auch
Nombre moyen d'habitant(s) par logement,"1,9","1,8",33039,begles
Nombre moyen d'habitant(s) par logement,"1,6","1,8",33063,bordeaux
Nombre moyen d'habitant(s) par logement,"1,9","1,8",33069,le-bouscat
Nombre moyen d'habitant(s) par logement,"2,0","1,8",33075,bruges
Nombre moyen d'habitant(s) par logement,"1,9","1,8",33119,cenon
Nombre moyen d'habitant(s) par logement,"2,1","1,8",33162,eysines
Nombre moyen d'habitant(s) par logement,"2,0","1,8",33192,gradignan
Nombre moyen d'habitant(s) par logement,"1,7","1,8",33199,gujan-mestras
Nombre moyen d'habitant(s) par logement,"1,7","1,8",33243,libourne
Nombre moyen d'habitant(s) par logement,"2,1","1,8",33249,lormont
Nombre moyen d'habitant(s) par logement,"1,8","1,8",33281,merignac
Nombre moyen d'habitant(s) par logement,"2,0","1,8",33318,pessac
Nombre moyen d'habitant(s) par logement,"2,2","1,8",33449,saint-medard-en-jalles
Nombre moyen d'habitant(s) par logement,"1,6","1,8",33522,talence
Nombre moyen d'habitant(s) par logement,"1,4","1,8",33529,la-teste-de-buch
Nombre moyen d'habitant(s) par logement,"2,0","1,8",33550,villenave-d-ornon
Nombre moyen d'habitant(s) par logement,"0,6","1,8",34003,agde
Nombre moyen d'habitant(s) par logement,"1,7","1,8",34032,beziers
Nombre moyen d'habitant(s) par logement,"1,8","1,8",34057,castelnau-le-lez
Nombre moyen d'habitant(s) par logement,"1,7","1,8",34108,frontignan
Nombre moyen d'habitant(s) par logement,"2,1","1,8",34145,lunel
Nombre moyen d'habitant(s) par logement,"1,7","1,8",34172,montpellier
Nombre moyen d'habitant(s) par logement,"1,3","1,8",34301,sete
Nombre moyen d'habitant(s) par logement,"1,7","1,8",35115,fougeres
Nombre moyen d'habitant(s) par logement,"1,7","1,8",35238,rennes
