Nombre de pièces,2010,%,2015,%,2021,%,code_insee,Ville
Ensemble,19 432,"100,0",20 150,"100,0",20 804,"100,0",01053,bourg-en-bresse
1 pièce,1 624,"8,4",1 568,"7,8",1 578,"7,6",01053,bourg-en-bresse
2 pièces,3 174,"16,3",3 539,"17,6",3 789,"18,2",01053,bourg-en-bresse
3 pièces,5 053,"26,0",5 430,"27,0",5 643,"27,1",01053,bourg-en-bresse
4 pièces,5 070,"26,1",5 223,"25,9",5 258,"25,3",01053,bourg-en-bresse
5 pièces ou plus,4 512,"23,2",4 389,"21,8",4 536,"21,8",01053,bourg-en-bresse
Ensemble,9 476,"100,0",9 388,"100,0",9 568,"100,0",01283,oyonnax
1 pièce,440,"4,6",363,"3,9",551,"5,8",01283,oyonnax
2 pièces,1 296,"13,7",1 207,"12,9",1 372,"14,3",01283,oyonnax
3 pièces,2 680,"28,3",2 825,"30,1",2 642,"27,6",01283,oyonnax
4 pièces,2 834,"29,9",2 644,"28,2",2 707,"28,3",01283,oyonnax
5 pièces ou plus,2 226,"23,5",2 349,"25,0",2 296,"24,0",01283,oyonnax
Ensemble,11 855,"100,0",12 076,"100,0",11 765,"100,0",02408,laon
1 pièce,725,"6,1",733,"6,1",718,"6,1",02408,laon
2 pièces,1 360,"11,5",1 585,"13,1",1 704,"14,5",02408,laon
3 pièces,2 739,"23,1",3 062,"25,4",3 145,"26,7",02408,laon
4 pièces,3 670,"31,0",3 224,"26,7",3 040,"25,8",02408,laon
5 pièces ou plus,3 362,"28,4",3 472,"28,7",3 157,"26,8",02408,laon
Ensemble,25 799,"100,0",26 160,"100,0",26 017,"100,0",02691,saint-quentin
1 pièce,1 129,"4,4",1 033,"3,9",1 249,"4,8",02691,saint-quentin
2 pièces,3 226,"12,5",3 376,"12,9",3 723,"14,3",02691,saint-quentin
3 pièces,6 016,"23,3",6 692,"25,6",6 309,"24,3",02691,saint-quentin
4 pièces,7 595,"29,4",7 477,"28,6",7 064,"27,2",02691,saint-quentin
5 pièces ou plus,7 833,"30,4",7 582,"29,0",7 672,"29,5",02691,saint-quentin
Ensemble,13 062,"100,0",13 396,"100,0",13 893,"100,0",02722,soissons
1 pièce,667,"5,1",867,"6,5",836,"6,0",02722,soissons
2 pièces,2 051,"15,7",2 316,"17,3",2 489,"17,9",02722,soissons
3 pièces,3 508,"26,9",3 412,"25,5",3 632,"26,1",02722,soissons
4 pièces,3 573,"27,4",3 478,"26,0",3 610,"26,0",02722,soissons
5 pièces ou plus,3 264,"25,0",3 323,"24,8",3 325,"23,9",02722,soissons
Ensemble,19 963,"100,0",19 422,"100,0",17 656,"100,0",03185,montlucon
1 pièce,1 131,"5,7",1 133,"5,8",862,"4,9",03185,montlucon
2 pièces,2 859,"14,3",3 140,"16,2",2 754,"15,6",03185,montlucon
3 pièces,6 313,"31,6",5 974,"30,8",5 303,"30,0",03185,montlucon
4 pièces,5 570,"27,9",5 240,"27,0",4 740,"26,8",03185,montlucon
5 pièces ou plus,4 090,"20,5",3 935,"20,3",3 997,"22,6",03185,montlucon
Ensemble,14 778,"100,0",14 977,"100,0",15 774,"100,0",03310,vichy
1 pièce,1 689,"11,4",1 257,"8,4",1 417,"9,0",03310,vichy
2 pièces,3 286,"22,2",3 266,"21,8",3 192,"20,2",03310,vichy
3 pièces,4 690,"31,7",5 103,"34,1",5 005,"31,7",03310,vichy
4 pièces,2 883,"19,5",2 999,"20,0",3 380,"21,4",03310,vichy
5 pièces ou plus,2 230,"15,1",2 352,"15,7",2 779,"17,6",03310,vichy
Ensemble,10 157,"100,0",10 340,"100,0",11 102,"100,0",04112,manosque
1 pièce,442,"4,4",403,"3,9",370,"3,3",04112,manosque
2 pièces,1 210,"11,9",1 282,"12,4",1 526,"13,7",04112,manosque
3 pièces,2 825,"27,8",2 898,"28,0",3 350,"30,2",04112,manosque
4 pièces,3 190,"31,4",3 162,"30,6",3 318,"29,9",04112,manosque
5 pièces ou plus,2 490,"24,5",2 594,"25,1",2 538,"22,9",04112,manosque
Ensemble,18 546,"100,0",19 378,"100,0",20 458,"100,0",05061,gap
1 pièce,831,"4,5",958,"4,9",898,"4,4",05061,gap
2 pièces,2 851,"15,4",3 037,"15,7",3 103,"15,2",05061,gap
3 pièces,4 154,"22,4",4 775,"24,6",4 990,"24,4",05061,gap
4 pièces,5 419,"29,2",5 828,"30,1",5 817,"28,4",05061,gap
5 pièces ou plus,5 291,"28,5",4 780,"24,7",5 651,"27,6",05061,gap
Ensemble,36 820,"100,0",37 118,"100,0",38 616,"100,0",06004,antibes
1 pièce,4 609,"12,5",4 367,"11,8",4 185,"10,8",06004,antibes
2 pièces,9 462,"25,7",9 373,"25,3",10 283,"26,6",06004,antibes
3 pièces,12 642,"34,3",13 550,"36,5",13 791,"35,7",06004,antibes
4 pièces,6 907,"18,8",6 544,"17,6",6 670,"17,3",06004,antibes
5 pièces ou plus,3 201,"8,7",3 284,"8,8",3 687,"9,5",06004,antibes
Ensemble,23 080,"100,0",23 942,"100,0",26 138,"100,0",06027,cagnes-sur-mer
