"","Hommes","Femmes","code_insee","Ville","Homme","Femme"
"1",19678,21847,"01053","bourg-en-bresse",47.39,52.61
"2",11031,11246,"01283","oyonnax",49.52,50.48
"3",11567,12454,"02408","laon",48.15,51.85
"4",24678,28280,"02691","saint-quentin",46.6,53.4
"5",13427,15278,"02722","soissons",46.78,53.22
"6",15770,17572,"03185","montlucon",47.3,52.7
"7",11111,14678,"03310","vichy",43.08,56.92
"8",10770,12156,"04112","manosque",46.98,53.02
"9",19180,21320,"05061","gap",47.36,52.64
"10",35016,40114,"06004","antibes",46.61,53.39
"11",24348,28232,"06027","cagnes-sur-mer",46.31,53.69
"12",33285,39970,"06029","cannes",45.44,54.56
"13",19541,22056,"06030","le-cannet",46.98,53.02
"14",23405,24918,"06069","grasse",48.43,51.57
"15",9909,11652,"06079","mandelieu-la-napoule",45.96,54.04
"16",13862,16550,"06083","menton",45.58,54.42
"17",163070,185015,"06088","nice",46.85,53.15
"18",14267,16674,"06123","saint-laurent-du-var",46.11,53.89
"19",13328,14697,"06155","vallauris",47.56,52.44
"20",21963,24435,"08105","charleville-mezieres",47.34,52.66
"21",29873,32909,"10387","troyes",47.58,52.42
"22",21527,24691,"11069","carcassonne",46.58,53.42
"23",25940,30455,"11262","narbonne",46,54
"24",10256,11456,"12145","millau",47.24,52.76
"25",11580,12627,"12202","rodez",47.84,52.16
"26",69919,77559,"13001","aix-en-provence",47.41,52.59
"27",10359,11131,"13002","allauch",48.2,51.8
"28",24066,26349,"13004","arles",47.74,52.26
"29",22512,24830,"13005","aubagne",47.55,52.45
"30",17575,19412,"13028","la-ciotat",47.52,52.48
"31",10253,10921,"13041","gardanne",48.42,51.58
"32",21462,23115,"13047","istres",48.15,51.85
"33",16026,16977,"13054","marignane",48.56,51.44
"34",414296,458780,"13055","marseille",47.45,52.55
"35",23276,25292,"13056","martigues",47.92,52.08
"36",12842,13563,"13063","miramas",48.63,51.37
"37",10484,11677,"13071","les-pennes-mirabeau",47.31,52.69
"38",21880,22851,"13103","salon-de-provence",48.91,51.09
"39",16778,18754,"13117","vitrolles",47.22,52.78
