Ensemble,Actifs en %,Actifs ayant un emploi en %,Chômeurs en %,Inactifs en %,"Élèves, étudiants et stagiaires non rémunérés en %",Retraités ou préretraités en %,Autres inactifs en %,code_insee,Ville,Année
25 917,"69,3","59,7","9,6","30,7","11,3","7,9","11,5",01053,bourg-en-bresse,2010
25 398,"69,8","56,9","12,9","30,2","11,4","6,8","12,0",01053,bourg-en-bresse,2015
25 260,"69,9","58,9","11,0","30,1","11,3","5,3","13,5",01053,bourg-en-bresse,2021
14 404,"70,8","57,6","13,2","29,2","7,8","7,5","13,8",01283,oyonnax,2010
13 650,"73,1","58,6","14,5","26,9","7,9","6,2","12,7",01283,oyonnax,2015
13 266,"70,8","59,9","10,9","29,2","9,1","4,7","15,4",01283,oyonnax,2021
17 134,"67,5","54,1","13,5","32,5","9,7","8,1","14,6",02408,laon,2010
16 351,"66,7","48,9","17,8","33,3","9,3","8,2","15,7",02408,laon,2015
15 091,"65,6","49,2","16,4","34,4","10,5","6,2","17,8",02408,laon,2021
35 468,"66,5","52,6","13,9","33,5","10,4","9,6","13,5",02691,saint-quentin,2010
34 403,"68,5","50,4","18,1","31,5","10,6","7,8","13,2",02691,saint-quentin,2015
31 885,"68,2","52,7","15,5","31,8","10,8","6,0","14,9",02691,saint-quentin,2021
17 994,"69,1","55,0","14,1","30,9","9,6","8,0","13,3",02722,soissons,2010
17 463,"68,2","50,4","17,8","31,8","10,3","7,6","14,0",02722,soissons,2015
16 633,"69,2","51,9","17,3","30,8","10,4","5,6","14,8",02722,soissons,2021
23 509,"67,7","56,0","11,7","32,3","10,6","10,5","11,2",03185,montlucon,2010
22 092,"71,6","57,0","14,6","28,4","9,3","8,0","11,1",03185,montlucon,2015
19 388,"71,5","58,4","13,1","28,5","9,9","6,3","12,3",03185,montlucon,2021
14 396,"65,2","53,4","11,8","34,8","12,4","10,0","12,4",03310,vichy,2010
14 011,"67,3","52,1","15,2","32,7","11,8","8,9","12,0",03310,vichy,2015
13 555,"66,6","52,4","14,2","33,4","13,1","6,9","13,4",03310,vichy,2021
13 246,"71,0","60,6","10,4","29,0","8,7","8,6","11,7",04112,manosque,2010
12 609,"71,9","59,1","12,8","28,1","8,8","8,1","11,2",04112,manosque,2015
13 303,"73,0","62,3","10,7","27,0","8,8","5,7","12,4",04112,manosque,2021
24 685,"72,4","64,9","7,4","27,6","9,3","9,8","8,5",05061,gap,2010
25 048,"74,6","64,2","10,4","25,4","9,3","7,5","8,6",05061,gap,2015
23 950,"74,9","66,4","8,5","25,1","8,8","7,2","9,0",05061,gap,2021
45 303,"74,7","65,9","8,7","25,3","9,0","7,8","8,5",06004,antibes,2010
44 761,"76,3","65,8","10,6","23,7","9,2","6,0","8,5",06004,antibes,2015
43 881,"77,5","68,2","9,3","22,5","8,5","5,4","8,6",06004,antibes,2021
28 195,"74,3","65,5","8,9","25,7","7,6","9,3","8,8",06027,cagnes-sur-mer,2010
28 758,"77,6","67,9","9,8","22,4","8,3","6,3","7,8",06027,cagnes-sur-mer,2015
30 440,"79,0","70,2","8,8","21,0","8,2","5,2","7,6",06027,cagnes-sur-mer,2021
42 268,"71,7","60,8","10,9","28,3","8,6","8,3","11,4",06029,cannes,2010
41 925,"72,9","59,8","13,1","27,1","9,0","6,2","11,9",06029,cannes,2015
41 086,"73,1","61,4","11,7","26,9","9,4","5,3","12,1",06029,cannes,2021
25 414,"73,9","65,1","8,8","26,1","8,6","7,9","9,7",06030,le-cannet,2010
24 501,"75,5","64,8","10,7","24,5","7,2","6,8","10,5",06030,le-cannet,2015
24 270,"76,1","66,3","9,8","23,9","8,1","5,5","10,2",06030,le-cannet,2021
33 024,"74,3","65,2","9,1","25,7","8,2","6,2","11,3",06069,grasse,2010
31 931,"75,5","64,4","11,1","24,5","8,0","5,3","11,2",06069,grasse,2015
29 908,"74,5","64,9","9,6","25,5","8,6","4,7","12,2",06069,grasse,2021
13 277,"76,0","67,6","8,4","24,0","7,2","8,9","7,9",06079,mandelieu-la-napoule,2010
12 936,"78,7","67,6","11,0","21,3","6,8","7,1","7,3",06079,mandelieu-la-napoule,2015
11 799,"78,7","68,3","10,5","21,3","6,6","6,7","8,0",06079,mandelieu-la-napoule,2021
17 523,"73,8","65,6","8,3","26,2","9,1","8,6","8,4",06083,menton,2010
16 358,"75,2","64,4","10,9","24,8","8,2","7,5","9,1",06083,menton,2015
17 805,"76,9","67,6","9,2","23,1","8,7","6,6","7,8",06083,menton,2021
213 710,"69,8","60,6","9,2","30,2","12,2","7,3","10,7",06088,nice,2010
209 845,"70,8","59,4","11,4","29,2","12,6","5,6","11,0",06088,nice,2015
211 456,"71,6","61,8","9,8","28,4","12,7","4,4","11,3",06088,nice,2021
18 987,"76,7","69,9","6,7","23,3","7,3","8,8","7,3",06123,saint-laurent-du-var,2010
17 789,"79,2","70,4","8,8","20,8","7,9","6,9","5,9",06123,saint-laurent-du-var,2015
18 685,"80,2","72,2","8,0","19,8","8,2","4,9","6,8",06123,saint-laurent-du-var,2021
16 797,"70,9","60,1","10,9","29,1","8,4","9,7","11,0",06155,vallauris,2010
14 967,"72,7","60,8","11,9","27,3","8,1","7,4","11,8",06155,vallauris,2015
15 860,"73,8","62,6","11,2","26,2","8,1","6,7","11,4",06155,vallauris,2021
32 505,"65,1","52,6","12,5","34,9","9,9","8,7","16,3",08105,charleville-mezieres,2010
29 716,"66,6","50,8","15,8","33,4","9,7","7,7","16,0",08105,charleville-mezieres,2015
28 151,"68,2","53,2","15,0","31,8","9,6","6,9","15,3",08105,charleville-mezieres,2021
39 813,"68,7","55,4","13,3","31,3","12,3","7,6","11,5",10387,troyes,2010
39 621,"68,6","51,8","16,9","31,4","14,0","5,9","11,5",10387,troyes,2015
40 267,"67,5","52,6","14,9","32,5","14,9","4,4","13,1",10387,troyes,2021
29 711,"69,9","56,8","13,0","30,1","9,5","9,1","11,6",11069,carcassonne,2010
28 085,"69,9","53,1","16,8","30,1","10,1","7,8","12,2",11069,carcassonne,2015
27 551,"70,0","56,8","13,2","30,0","8,8","6,5","14,7",11069,carcassonne,2021
31 603,"67,1","54,9","12,3","32,9","9,8","10,1","13,0",11262,narbonne,2010
32 237,"69,7","54,1","15,6","30,3","9,3","8,0","13,0",11262,narbonne,2015
33 032,"69,6","56,2","13,4","30,4","9,4","6,2","14,8",11262,narbonne,2021
12 932,"72,7","63,7","9,0","27,3","7,9","11,0","8,5",12145,millau,2010
12 940,"74,0","62,2","11,9","26,0","8,5","8,9","8,6",12145,millau,2015
12 553,"73,5","64,9","8,7","26,5","8,3","8,5","9,7",12145,millau,2021
16 051,"71,7","64,1","7,5","28,3","13,0","8,4","6,9",12202,rodez,2010
15 668,"71,9","62,3","9,6","28,1","14,5","6,3","7,3",12202,rodez,2015
15 475,"72,0","64,7","7,3","28,0","15,1","5,3","7,6",12202,rodez,2021
98 112,"65,8","57,5","8,3","34,2","20,3","5,5","8,3",13001,aix-en-provence,2010
96 978,"67,8","58,0","9,8","32,2","19,5","4,1","8,6",13001,aix-en-provence,2015
99 072,"69,8","61,9","7,9","30,2","18,1","3,5","8,6",13001,aix-en-provence,2021
12 380,"70,8","64,9","5,9","29,2","11,2","10,4","7,6",13002,allauch,2010
13 042,"74,5","67,4","7,1","25,5","10,3","8,3","7,0",13002,allauch,2015
12 771,"76,4","70,1","6,3","23,6","10,1","7,4","6,1",13002,allauch,2021
33 137,"67,8","56,6","11,3","32,2","9,6","9,1","13,4",13004,arles,2010
32 073,"65,9","55,6","10,3","34,1","10,6","7,7","15,7",13004,arles,2015
30 235,"67,8","58,4","9,4","32,2","10,1","6,2","15,9",13004,arles,2021
29 481,"71,3","61,7","9,6","28,7","9,9","7,9","10,9",13005,aubagne,2010
27 573,"72,0","61,4","10,6","28,0","9,3","6,9","11,7",13005,aubagne,2015
28 788,"73,2","63,5","9,8","26,8","10,0","5,9","10,8",13005,aubagne,2021
20 722,"68,1","58,6","9,4","31,9","9,3","11,3","11,3",13028,la-ciotat,2010
20 979,"70,2","60,5","9,6","29,8","8,8","8,7","12,4",13028,la-ciotat,2015
21 507,"73,0","63,9","9,1","27,0","8,6","6,7","11,7",13028,la-ciotat,2021
13 341,"70,3","62,4","7,9","29,7","10,4","9,9","9,4",13041,gardanne,2010
12 704,"71,3","62,6","8,7","28,7","10,3","8,5","9,9",13041,gardanne,2015
13 438,"75,0","66,8","8,2","25,0","9,0","7,1","8,9",13041,gardanne,2021
28 821,"71,9","63,1","8,8","28,1","8,6","9,3","10,2",13047,istres,2010
28 169,"73,8","64,2","9,6","26,2","8,4","7,8","10,0",13047,istres,2015
27 945,"76,0","67,7","8,3","24,0","7,7","6,0","10,4",13047,istres,2021
22 430,"69,5","60,6","8,9","30,5","8,9","7,3","14,4",13054,marignane,2010
20 939,"72,5","61,6","10,9","27,5","8,5","6,1","13,0",13054,marignane,2015
20 313,"74,8","65,5","9,3","25,2","7,8","4,9","12,5",13054,marignane,2021
545 991,"66,5","55,0","11,6","33,5","13,0","6,9","13,5",13055,marseille,2010
543 782,"66,9","54,5","12,4","33,1","12,8","5,3","14,9",13055,marseille,2015
547 960,"67,2","57,3","9,9","32,8","12,8","4,3","15,7",13055,marseille,2021
30 265,"71,1","61,6","9,5","28,9","8,6","9,1","11,3",13056,martigues,2010
30 593,"71,5","59,6","11,8","28,5","9,2","8,0","11,3",13056,martigues,2015
29 219,"73,5","63,5","10,1","26,5","9,0","5,9","11,7",13056,martigues,2021
16 253,"68,3","58,2","10,1","31,7","9,8","8,5","13,4",13063,miramas,2010
15 877,"69,3","56,1","13,2","30,7","8,8","6,7","15,2",13063,miramas,2015
15 698,"71,5","61,4","10,1","28,5","8,7","5,5","14,2",13063,miramas,2021
12 364,"70,9","64,8","6,1","29,1","9,7","10,9","8,6",13071,les-pennes-mirabeau,2010
12 904,"75,1","67,8","7,3","24,9","8,9","8,7","7,2",13071,les-pennes-mirabeau,2015
13 317,"76,0","69,7","6,3","24,0","9,3","6,6","8,1",13071,les-pennes-mirabeau,2021
27 822,"71,1","61,4","9,7","28,9","9,0","7,4","12,5",13103,salon-de-provence,2010
28 190,"73,5","61,5","12,0","26,5","8,4","5,5","12,6",13103,salon-de-provence,2015
28 006,"75,5","65,6","9,8","24,5","8,4","4,7","11,5",13103,salon-de-provence,2021
23 597,"71,0","61,3","9,7","29,0","10,1","7,8","11,1",13117,vitrolles,2010
21 611,"70,7","59,8","10,9","29,3","10,3","7,2","11,8",13117,vitrolles,2015
21 874,"73,2","63,3","9,9","26,8","9,9","5,7","11,2",13117,vitrolles,2021
77 026,"65,3","54,9","10,4","34,7","20,3","6,1","8,4",14118,caen,2010
73 634,"64,6","52,6","12,0","35,4","21,3","5,0","9,1",14118,caen,2015
74 877,"64,6","54,4","10,2","35,4","21,9","3,8","9,7",14118,caen,2021
14 961,"64,9","53,8","11,0","35,1","19,8","6,8","8,5",14327,herouville-saint-clair,2010
15 089,"65,8","52,6","13,1","34,2","18,7","6,6","8,9",14327,herouville-saint-clair,2015
14 625,"68,4","55,3","13,1","31,6","16,3","5,5","9,9",14327,herouville-saint-clair,2021
18 179,"69,7","61,4","8,3","30,3","11,6","10,3","8,4",15014,aurillac,2010
16 206,"71,4","61,7","9,8","28,6","11,8","8,9","7,9",15014,aurillac,2015
15 778,"71,1","62,7","8,4","28,9","11,7","7,6","9,6",15014,aurillac,2021
27 646,"70,4","56,0","14,5","29,6","12,6","7,2","9,8",16015,angouleme,2010
27 469,"72,4","54,5","17,8","27,6","11,5","6,1","10,1",16015,angouleme,2015
26 724,"72,5","58,1","14,3","27,5","12,1","4,7","10,8",16015,angouleme,2021
15 714,"71,4","56,9","14,4","28,6","8,1","9,7","10,8",17299,rochefort,2010
14 547,"71,0","54,7","16,3","29,0","8,4","9,0","11,6",17299,rochefort,2015
13 532,"73,0","58,6","14,4","27,0","8,3","7,4","11,3",17299,rochefort,2021
49 345,"64,9","53,6","11,2","35,1","17,1","8,8","9,2",17300,la-rochelle,2010
48 383,"65,9","52,0","13,9","34,1","18,1","7,3","8,7",17300,la-rochelle,2015
49 300,"68,1","56,7","11,4","31,9","16,8","5,5","9,6",17300,la-rochelle,2021
16 060,"68,1","57,2","10,9","31,9","9,7","11,4","10,7",17415,saintes,2010
14 937,"71,0","57,8","13,2","29,0","8,4","10,4","10,2",17415,saintes,2015
14 669,"73,1","61,6","11,5","26,9","8,2","7,8","10,9",17415,saintes,2021
43 272,"69,7","59,9","9,8","30,3","11,5","9,0","9,8",18033,bourges,2010
41 477,"69,5","57,6","11,9","30,5","12,3","7,8","10,4",18033,bourges,2015
39 166,"71,2","60,5","10,7","28,8","11,2","6,3","11,2",18033,bourges,2021
15 943,"66,5","53,8","12,7","33,5","8,6","12,8","12,1",18279,vierzon,2010
15 322,"69,8","53,1","16,7","30,2","8,4","9,5","12,3",18279,vierzon,2015
13 961,"71,0","55,1","15,9","29,0","8,4","7,1","13,5",18279,vierzon,2021
29 677,"70,5","61,9","8,7","29,5","9,2","10,3","10,0",19031,brive-la-gaillarde,2010
27 936,"71,5","60,0","11,5","28,5","10,2","8,2","10,1",19031,brive-la-gaillarde,2015
27 143,"72,6","62,8","9,8","27,4","10,6","6,9","9,9",19031,brive-la-gaillarde,2021
14 294,"75,1","65,8","9,3","24,9","8,7","8,1","8,1",21054,beaune,2010
