"","Statut","%","code_insee","Ville"
"1","Marié(e)","35,6","01053","bourg-en-bresse"
"2","Pacsé(e)","3,1","01053","bourg-en-bresse"
"3","En concubinage ou union libre","9,1","01053","bourg-en-bresse"
"4","Veuf, veuve","7,4","01053","bourg-en-bresse"
"5","Divorcé(e)","10,3","01053","bourg-en-bresse"
"6","Célibataire","34,6","01053","bourg-en-bresse"
"7","Marié(e)","48,4","01283","oyonnax"
"8","Pacsé(e)","1,7","01283","oyonnax"
"9","En concubinage ou union libre","8,8","01283","oyonnax"
"10","Veuf, veuve","6,9","01283","oyonnax"
"11","Divorcé(e)","8,1","01283","oyonnax"
"12","Célibataire","26,1","01283","oyonnax"
"13","Marié(e)","29,5","02408","laon"
"14","Pacsé(e)","3,0","02408","laon"
"15","En concubinage ou union libre","13,0","02408","laon"
"16","Veuf, veuve","8,1","02408","laon"
"17","Divorcé(e)","9,3","02408","laon"
"18","Célibataire","37,0","02408","laon"
"19","Marié(e)","33,6","02691","saint-quentin"
"20","Pacsé(e)","4,2","02691","saint-quentin"
"21","En concubinage ou union libre","12,4","02691","saint-quentin"
"22","Veuf, veuve","9,1","02691","saint-quentin"
"23","Divorcé(e)","7,9","02691","saint-quentin"
"24","Célibataire","32,7","02691","saint-quentin"
"25","Marié(e)","36,8","02722","soissons"
"26","Pacsé(e)","2,4","02722","soissons"
"27","En concubinage ou union libre","11,4","02722","soissons"
"28","Veuf, veuve","9,6","02722","soissons"
"29","Divorcé(e)","9,7","02722","soissons"
"30","Célibataire","30,0","02722","soissons"
"31","Marié(e)","33,4","03185","montlucon"
"32","Pacsé(e)","3,9","03185","montlucon"
"33","En concubinage ou union libre","9,2","03185","montlucon"
"34","Veuf, veuve","10,1","03185","montlucon"
"35","Divorcé(e)","10,3","03185","montlucon"
"36","Célibataire","33,1","03185","montlucon"
"37","Marié(e)","31,1","03310","vichy"
"38","Pacsé(e)","3,1","03310","vichy"
"39","En concubinage ou union libre","8,8","03310","vichy"
"40","Veuf, veuve","12,3","03310","vichy"
"41","Divorcé(e)","12,6","03310","vichy"
"42","Célibataire","32,2","03310","vichy"
"43","Marié(e)","43,0","04112","manosque"
"44","Pacsé(e)","3,6","04112","manosque"
"45","En concubinage ou union libre","9,6","04112","manosque"
"46","Veuf, veuve","8,9","04112","manosque"
"47","Divorcé(e)","10,2","04112","manosque"
"48","Célibataire","24,7","04112","manosque"
"49","Marié(e)","40,1","05061","gap"
"50","Pacsé(e)","5,3","05061","gap"
"51","En concubinage ou union libre","10,9","05061","gap"
"52","Veuf, veuve","7,6","05061","gap"
"53","Divorcé(e)","10,0","05061","gap"
"54","Célibataire","26,1","05061","gap"
"55","Marié(e)","41,2","06004","antibes"
"56","Pacsé(e)","5,4","06004","antibes"
"57","En concubinage ou union libre","9,7","06004","antibes"
"58","Veuf, veuve","8,4","06004","antibes"
"59","Divorcé(e)","9,4","06004","antibes"
"60","Célibataire","25,9","06004","antibes"
"61","Marié(e)","40,8","06027","cagnes-sur-mer"
"62","Pacsé(e)","4,6","06027","cagnes-sur-mer"
"63","En concubinage ou union libre","11,1","06027","cagnes-sur-mer"
"64","Veuf, veuve","8,6","06027","cagnes-sur-mer"
"65","Divorcé(e)","9,8","06027","cagnes-sur-mer"
"66","Célibataire","25,1","06027","cagnes-sur-mer"
"67","Marié(e)","38,3","06029","cannes"
"68","Pacsé(e)","3,3","06029","cannes"
"69","En concubinage ou union libre","9,1","06029","cannes"
"70","Veuf, veuve","9,7","06029","cannes"
"71","Divorcé(e)","10,3","06029","cannes"
"72","Célibataire","29,5","06029","cannes"
"73","Marié(e)","40,5","06030","le-cannet"
"74","Pacsé(e)","4,5","06030","le-cannet"
"75","En concubinage ou union libre","9,2","06030","le-cannet"
"76","Veuf, veuve","9,4","06030","le-cannet"
"77","Divorcé(e)","10,2","06030","le-cannet"
"78","Célibataire","26,1","06030","le-cannet"
"79","Marié(e)","42,6","06069","grasse"
"80","Pacsé(e)","5,4","06069","grasse"
"81","En concubinage ou union libre","11,0","06069","grasse"
"82","Veuf, veuve","6,7","06069","grasse"
"83","Divorcé(e)","8,2","06069","grasse"
"84","Célibataire","26,2","06069","grasse"
"85","Marié(e)","44,6","06079","mandelieu-la-napoule"
"86","Pacsé(e)","4,9","06079","mandelieu-la-napoule"
"87","En concubinage ou union libre","11,6","06079","mandelieu-la-napoule"
"88","Veuf, veuve","8,4","06079","mandelieu-la-napoule"
"89","Divorcé(e)","9,4","06079","mandelieu-la-napoule"
"90","Célibataire","21,1","06079","mandelieu-la-napoule"
"91","Marié(e)","43,6","06083","menton"
"92","Pacsé(e)","4,5","06083","menton"
"93","En concubinage ou union libre","10,7","06083","menton"
"94","Veuf, veuve","8,7","06083","menton"
"95","Divorcé(e)","9,1","06083","menton"
"96","Célibataire","23,4","06083","menton"
"97","Marié(e)","38,3","06088","nice"
"98","Pacsé(e)","4,1","06088","nice"
"99","En concubinage ou union libre","9,6","06088","nice"
"100","Veuf, veuve","7,3","06088","nice"
