"","Ensemble","Propriétaire","Locataire","dont d'un logement HLM loué vide","Logé gratuitement","code_insee","Ville","Propriétaires","Locataires","Logés gratuitement"
"1",20804,7733,12712,6368,359,"01053","bourg-en-bresse",37.17,61.1,1.73
"2",9568,3448,5964,3824,157,"01283","oyonnax",36.04,62.33,1.64
"3",11765,3759,7844,5019,161,"02408","laon",31.95,66.67,1.37
"4",26017,10431,15140,6640,446,"02691","saint-quentin",40.09,58.19,1.71
"5",13893,4593,9066,5619,234,"02722","soissons",33.06,65.26,1.68
"6",17656,8374,8946,3119,336,"03185","montlucon",47.43,50.67,1.9
"7",15774,6613,8818,1605,343,"03310","vichy",41.92,55.9,2.17
"8",11102,5192,5654,1569,256,"04112","manosque",46.77,50.93,2.31
"9",20458,10695,9176,3180,587,"05061","gap",52.28,44.85,2.87
"10",38616,21255,16110,3618,1251,"06004","antibes",55.04,41.72,3.24
"11",26138,14814,10333,1790,991,"06027","cagnes-sur-mer",56.68,39.53,3.79
"12",37720,17559,18915,6595,1246,"06029","cannes",46.55,50.15,3.3
"13",20959,11835,8607,1520,518,"06030","le-cannet",56.47,41.07,2.47
"14",20759,11380,8572,2696,806,"06069","grasse",54.82,41.29,3.88
"15",11136,6581,4257,1122,297,"06079","mandelieu-la-napoule",59.1,38.23,2.67
"16",14893,8467,5895,1246,530,"06083","menton",56.85,39.58,3.56
"17",171606,81655,84793,20183,5158,"06088","nice",47.58,49.41,3.01
"18",15019,8440,6170,1347,410,"06123","saint-laurent-du-var",56.2,41.08,2.73
"19",13446,7234,5782,1092,431,"06155","vallauris",53.8,43,3.21
"20",22554,8032,14267,8849,254,"08105","charleville-mezieres",35.61,63.26,1.13
"21",33361,9770,23130,10678,461,"10387","troyes",29.29,69.33,1.38
"22",23315,10962,11972,4438,382,"11069","carcassonne",47.02,51.35,1.64
"23",29302,12558,16186,5293,557,"11262","narbonne",42.86,55.24,1.9
"24",10676,6392,4097,1285,187,"12145","millau",59.87,38.38,1.75
"25",13983,6065,7558,984,361,"12202","rodez",43.37,54.05,2.58
"26",74395,28738,43234,10649,2424,"13001","aix-en-provence",38.63,58.11,3.26
"27",8899,6754,1948,455,198,"13002","allauch",75.9,21.89,2.22
"28",23448,12127,10699,4918,622,"13004","arles",51.72,45.63,2.65
"29",20757,10217,10028,5136,513,"13005","aubagne",49.22,48.31,2.47
"30",18476,9170,8862,4324,443,"13028","la-ciotat",49.63,47.96,2.4
"31",9552,4694,4436,1896,421,"13041","gardanne",49.14,46.44,4.41
"32",19953,10258,9363,4901,331,"13047","istres",51.41,46.93,1.66
"33",14389,8513,5561,1693,315,"13054","marignane",59.16,38.65,2.19
"34",410237,176518,224569,65127,9150,"13055","marseille",43.03,54.74,2.23
"35",22490,10576,11425,6390,489,"13056","martigues",47.03,50.8,2.17
"36",11162,5096,5867,3540,198,"13063","miramas",45.65,52.56,1.77
"37",9200,6674,2225,624,301,"13071","les-pennes-mirabeau",72.54,24.18,3.27
"38",20254,9933,9967,3464,354,"13103","salon-de-provence",49.04,49.21,1.75
"39",14414,8232,5991,3937,191,"13117","vitrolles",57.11,41.56,1.33
"40",61313,18123,41993,13459,1197,"14118","caen",29.56,68.49,1.95
"41",11096,3112,7787,4382,197,"14327","herouville-saint-clair",28.05,70.18,1.78
"42",14194,6795,7080,2632,320,"15014","aurillac",47.87,49.88,2.25
"43",23175,8254,14559,5441,361,"16015","angouleme",35.62,62.82,1.56
"44",12587,5700,6661,2418,226,"17299","rochefort",45.28,52.92,1.8
"45",44130,16470,27010,11102,650,"17300","la-rochelle",37.32,61.21,1.47
"46",14058,7002,6786,2340,270,"17415","saintes",49.81,48.27,1.92
"47",32296,15317,16538,7283,441,"18033","bourges",47.43,51.21,1.37
"48",12426,7114,5158,2010,154,"18279","vierzon",57.25,41.51,1.24
"49",24558,12434,11817,3246,307,"19031","brive-la-gaillarde",50.63,48.12,1.25
"50",10301,4867,5140,2131,293,"21054","beaune",47.25,49.9,2.84
"51",87936,35202,50604,12159,2129,"21231","dijon",40.03,57.55,2.42
"52",10404,5558,4746,1626,100,"22113","lannion",53.42,45.62,0.96
"53",23083,11450,11286,3599,347,"22278","saint-brieuc",49.6,48.89,1.5
"54",14204,7276,6664,1631,264,"24037","bergerac",51.23,46.92,1.86
"55",17135,5900,10849,2976,386,"24322","perigueux",34.43,63.31,2.25
"56",63809,22671,39661,14129,1476,"25056","besancon",35.53,62.16,2.31
"57",11547,4533,6805,4093,208,"25388","montbeliard",39.26,58.93,1.8
"58",19240,9187,9741,3103,312,"26198","montelimar",47.75,50.63,1.62
"59",16219,8055,7931,3146,233,"26281","romans-sur-isere",49.66,48.9,1.44
"60",32602,14103,18015,6205,483,"26362","valence",43.26,55.26,1.48
