"","Ensemble","0 à 14 ans","15 à 29 ans","30 à 44 ans","45 à 59 ans","60 à 74 ans","75 ans ou plus","code_insee","Ville","0-14 ans","15-29 ans","30-44 ans","45-59 ans","60-74 ans","75-+ ans"
"1",41525,6646,8428,7058,7424,6865,5104,"01053","bourg-en-bresse",16,20.3,17,17.88,16.53,12.29
"2",22277,4861,3645,4075,4423,3386,1886,"01283","oyonnax",21.82,16.36,18.29,19.85,15.2,8.47
"3",24021,4129,4912,4354,4317,4119,2191,"02408","laon",17.19,20.45,18.13,17.97,17.15,9.12
"4",52958,9296,10547,8877,9377,9061,5800,"02691","saint-quentin",17.55,19.92,16.76,17.71,17.11,10.95
"5",28705,5366,5054,4769,5059,4990,3468,"02722","soissons",18.69,17.61,16.61,17.62,17.38,12.08
"6",33342,4569,6688,4841,5828,6213,5202,"03185","montlucon",13.7,20.06,14.52,17.48,18.63,15.6
"7",25789,2796,4703,3340,3918,5698,5334,"03310","vichy",10.84,18.24,12.95,15.19,22.09,20.68
"8",22926,3974,3447,3979,4598,3768,3161,"04112","manosque",17.33,15.04,17.36,20.06,16.44,13.79
"9",40500,6083,6453,6635,8099,8000,5230,"05061","gap",15.02,15.93,16.38,20,19.75,12.91
"10",75130,10476,11007,14096,14239,13975,11337,"06004","antibes",13.94,14.65,18.76,18.95,18.6,15.09
"11",52580,7791,7861,9120,10286,9582,7939,"06027","cagnes-sur-mer",14.82,14.95,17.34,19.56,18.22,15.1
"12",73255,10115,10446,11697,14422,13934,12641,"06029","cannes",13.81,14.26,15.97,19.69,19.02,17.26
"13",41597,6001,6000,7313,8365,7625,6293,"06030","le-cannet",14.43,14.42,17.58,20.11,18.33,15.13
"14",48323,8503,7576,9315,10076,7937,4915,"06069","grasse",17.6,15.68,19.28,20.85,16.42,10.17
"15",21561,2897,2630,3527,4147,4677,3684,"06079","mandelieu-la-napoule",13.44,12.2,16.36,19.23,21.69,17.09
"16",30412,4711,4161,5315,6295,5647,4282,"06083","menton",15.49,13.68,17.48,20.7,18.57,14.08
"17",348085,53905,64087,63260,64241,59582,43010,"06088","nice",15.49,18.41,18.17,18.46,17.12,12.36
"18",30941,4753,4831,5906,6156,5364,3930,"06123","saint-laurent-du-var",15.36,15.61,19.09,19.9,17.34,12.7
"19",28025,4249,3630,5178,5254,5614,4100,"06155","vallauris",15.16,12.95,18.48,18.75,20.03,14.63
"20",46398,7730,8674,7879,8600,8372,5143,"08105","charleville-mezieres",16.66,18.69,16.98,18.54,18.04,11.08
"21",62782,11122,15867,11038,10175,8872,5708,"10387","troyes",17.72,25.27,17.58,16.21,14.13,9.09
"22",46218,6933,8024,7431,9071,9028,5730,"11069","carcassonne",15,17.36,16.08,19.63,19.53,12.4
"23",56395,8665,9609,9127,10836,11012,7145,"11262","narbonne",15.36,17.04,16.18,19.21,19.53,12.67
"24",21712,3277,3052,3380,4485,4515,3002,"12145","millau",15.09,14.06,15.57,20.66,20.79,13.83
"25",24207,2931,5887,3893,4394,4043,3059,"12202","rodez",12.11,24.32,16.08,18.15,16.7,12.64
"26",147478,19883,38858,26969,25624,21537,14606,"13001","aix-en-provence",13.48,26.35,18.29,17.37,14.6,9.9
"27",21490,3560,2864,3707,4598,4296,2465,"13002","allauch",16.57,13.33,17.25,21.4,19.99,11.47
"28",50415,8068,7604,8482,10527,10060,5674,"13004","arles",16,15.08,16.82,20.88,19.95,11.25
"29",47342,8071,8048,8361,9413,8026,5422,"13005","aubagne",17.05,17,17.66,19.88,16.95,11.45
"30",36987,5060,5075,6070,7836,7801,5145,"13028","la-ciotat",13.68,13.72,16.41,21.19,21.09,13.91
"31",21174,3646,3805,3946,4298,3604,1876,"13041","gardanne",17.22,17.97,18.64,20.3,17.02,8.86
"32",44577,8120,7691,8408,8933,7947,3478,"13047","istres",18.22,17.25,18.86,20.04,17.83,7.8
"33",33003,6085,5189,6635,6637,5351,3106,"13054","marignane",18.44,15.72,20.1,20.11,16.21,9.41
"34",873076,155006,169169,168596,162540,133519,84246,"13055","marseille",17.75,19.38,19.31,18.62,15.29,9.65
