Données 2021;Personnes scolarisées;code_insee;Ville
Ecoles maternelles;2;01053;bourg-en-bresse
Ecoles élémentaires;21;01053;bourg-en-bresse
Collèges;7;01053;bourg-en-bresse
Lycées généraux;4;01053;bourg-en-bresse
Lycées professionnels;4;01053;bourg-en-bresse
Lycées agricoles;1;01053;bourg-en-bresse
Etablissements avec classes préparatoires aux grandes écoles;0;01053;bourg-en-bresse
Ecoles de formation sanitaire et sociale;4;01053;bourg-en-bresse
Ecoles de commerce, gestion, administration d'entreprises, comptabilité, vente;2;01053;bourg-en-bresse
Unités de formation et de recherche (UFR);4;01053;bourg-en-bresse
Instituts universitaires (IUP, IUT et IUFM);2;01053;bourg-en-bresse
Ecoles d'ingénieurs;1;01053;bourg-en-bresse
Etablissements de formation aux métiers du sport;0;01053;bourg-en-bresse
Centres de formation d'apprentis (hors agricoles);2;01053;bourg-en-bresse
Centres de formation d'apprentis agricoles;1;01053;bourg-en-bresse
Autres écoles d'enseignement supérieur;0;01053;bourg-en-bresse
Autres formations post-bac non universitaire;0;01053;bourg-en-bresse
Ecoles maternelles;9;01283;oyonnax
Ecoles élémentaires;10;01283;oyonnax
Collèges;3;01283;oyonnax
Lycées généraux;2;01283;oyonnax
Lycées professionnels;0;01283;oyonnax
Lycées agricoles;0;01283;oyonnax
Etablissements avec classes préparatoires aux grandes écoles;1;01283;oyonnax
Ecoles de formation sanitaire et sociale;1;01283;oyonnax
Ecoles de commerce, gestion, administration d'entreprises, comptabilité, vente;0;01283;oyonnax
Unités de formation et de recherche (UFR);0;01283;oyonnax
Instituts universitaires (IUP, IUT et IUFM);0;01283;oyonnax
Ecoles d'ingénieurs;0;01283;oyonnax
Etablissements de formation aux métiers du sport;0;01283;oyonnax
Centres de formation d'apprentis (hors agricoles);0;01283;oyonnax
Centres de formation d'apprentis agricoles;0;01283;oyonnax
Autres écoles d'enseignement supérieur;0;01283;oyonnax
Autres formations post-bac non universitaire;0;01283;oyonnax
Ecoles maternelles;8;02408;laon
Ecoles élémentaires;11;02408;laon
Collèges;4;02408;laon
Lycées généraux;3;02408;laon
Lycées professionnels;1;02408;laon
Lycées agricoles;0;02408;laon
Etablissements avec classes préparatoires aux grandes écoles;0;02408;laon
Ecoles de formation sanitaire et sociale;1;02408;laon
Ecoles de commerce, gestion, administration d'entreprises, comptabilité, vente;0;02408;laon
