Données 2021;Personnes scolarisées;% de la population scolarisée;Moyenne des villes;code_insee;Ville;type
2 - 5 ans;1 235;13,5 %;15,6 %;01053;bourg-en-bresse;Scolarisés
6 - 10 ans;2 228;24,3 %;29,2 %;01053;bourg-en-bresse;Scolarisés
11 - 14 ans;1 764;19,3 %;24,9 %;01053;bourg-en-bresse;Scolarisés
15 - 17 ans;1 421;15,5 %;18,4 %;01053;bourg-en-bresse;Scolarisés
18 - 24 ans;2 117;23,1 %;9,1 %;01053;bourg-en-bresse;Scolarisés
25 - 29 ans;133;1,5 %;0,7 %;01053;bourg-en-bresse;Scolarisés
30 ans et plus;258;2,8 %;2,2 %;01053;bourg-en-bresse;Scolarisés
Aucun diplôme;7 536;24,3 %;20,2 %;01053;bourg-en-bresse;Non scolarisés
Brevet des collèges;1 998;6,5 %;5,5 %;01053;bourg-en-bresse;Non scolarisés
CAP / BEP;7 445;24,1 %;29,3 %;01053;bourg-en-bresse;Non scolarisés
Baccalauréat / brevet professionnel;5 311;17,2 %;18,8 %;01053;bourg-en-bresse;Non scolarisés
De Bac +2 à Bac +4;6 129;19,8 %;19,8 %;01053;bourg-en-bresse;Non scolarisés
Bac +5 et plus;2 531;8,2 %;6,5 %;01053;bourg-en-bresse;Non scolarisés
2 - 5 ans;918;16,5 %;15,6 %;01283;oyonnax;Scolarisés
6 - 10 ans;1 683;30,3 %;29,2 %;01283;oyonnax;Scolarisés
11 - 14 ans;1 366;24,6 %;24,9 %;01283;oyonnax;Scolarisés
15 - 17 ans;882;15,9 %;18,4 %;01283;oyonnax;Scolarisés
18 - 24 ans;561;10,1 %;9,1 %;01283;oyonnax;Scolarisés
25 - 29 ans;15;0,3 %;0,7 %;01283;oyonnax;Scolarisés
30 ans et plus;138;2,5 %;2,2 %;01283;oyonnax;Scolarisés
Aucun diplôme;6 244;39,5 %;20,2 %;01283;oyonnax;Non scolarisés
Brevet des collèges;994;6,3 %;5,5 %;01283;oyonnax;Non scolarisés
CAP / BEP;3 544;22,4 %;29,3 %;01283;oyonnax;Non scolarisés
Baccalauréat / brevet professionnel;2 282;14,4 %;18,8 %;01283;oyonnax;Non scolarisés
De Bac +2 à Bac +4;2 060;13,0 %;19,8 %;01283;oyonnax;Non scolarisés
Bac +5 et plus;697;4,4 %;6,5 %;01283;oyonnax;Non scolarisés
2 - 5 ans;801;14,9 %;15,6 %;02408;laon;Scolarisés
6 - 10 ans;1 326;24,7 %;29,2 %;02408;laon;Scolarisés
11 - 14 ans;1 199;22,3 %;24,9 %;02408;laon;Scolarisés
15 - 17 ans;872;16,2 %;18,4 %;02408;laon;Scolarisés
18 - 24 ans;959;17,8 %;9,1 %;02408;laon;Scolarisés
25 - 29 ans;58;1,1 %;0,7 %;02408;laon;Scolarisés
30 ans et plus;163;3,0 %;2,2 %;02408;laon;Scolarisés
Aucun diplôme;5 670;31,8 %;20,2 %;02408;laon;Non scolarisés
Brevet des collèges;1 227;6,9 %;5,5 %;02408;laon;Non scolarisés
CAP / BEP;4 440;24,9 %;29,3 %;02408;laon;Non scolarisés
Baccalauréat / brevet professionnel;2 713;15,2 %;18,8 %;02408;laon;Non scolarisés
