Label,Value,code_insee,Ville,catégorie
Nombre de théâtres,2,01053,bourg-en-bresse,Culture
Nombre de cinémas,2,01053,bourg-en-bresse,Culture
Nombre de musées,3,01053,bourg-en-bresse,Culture
Nombre de conservatoires,1,01053,bourg-en-bresse,Culture
Nombre de piscines,4,01053,bourg-en-bresse,Sports
Nombre de gymnases,25,01053,bourg-en-bresse,Sports
Nombre de stades,14,01053,bourg-en-bresse,Sports
Nombre de lieux dédiés au tennis,5,01053,bourg-en-bresse,Sports
Nombre de centres équestres,3,01053,bourg-en-bresse,Sports
Nombre de terrains de football et/ou de rugby,17,01053,bourg-en-bresse,Sports
"Nombre de terrains de basket-ball, handball, volley-ball, et/ou badminton",12,01053,bourg-en-bresse,Sports
"Nombre de parcours de golf (parcours 9 ou 18 trous, parcours d'initiation, practice)",1,01053,bourg-en-bresse,Sports
Nombre d'hôtel(s),9,01053,bourg-en-bresse,Hôtels
Nombre de chambres d'hôtel,417,01053,bourg-en-bresse,Hôtels
Nombre de camping(s),0,01053,bourg-en-bresse,Hôtels
Nombre d'emplacements de camping,0,01053,bourg-en-bresse,Hôtels
Hôtels non-classés,0,01053,bourg-en-bresse,Hôtels
Hôtels classés 1 étoile,0,01053,bourg-en-bresse,Hôtels
Hôtels classés 2 étoiles,1,01053,bourg-en-bresse,Hôtels
Hôtels classés 3 étoiles,7,01053,bourg-en-bresse,Hôtels
Hôtels classés 4 étoiles,1,01053,bourg-en-bresse,Hôtels
Hôtels classés 5 étoiles,0,01053,bourg-en-bresse,Hôtels
Nombre de théâtres,1,01283,oyonnax,Culture
Nombre de cinémas,2,01283,oyonnax,Culture
Nombre de musées,2,01283,oyonnax,Culture
Nombre de conservatoires,1,01283,oyonnax,Culture
Nombre de piscines,1,01283,oyonnax,Sports
Nombre de gymnases,7,01283,oyonnax,Sports
Nombre de stades,1,01283,oyonnax,Sports
Nombre de lieux dédiés au tennis,2,01283,oyonnax,Sports
Nombre de centres équestres,1,01283,oyonnax,Sports
Nombre de terrains de football et/ou de rugby,3,01283,oyonnax,Sports
"Nombre de terrains de basket-ball, handball, volley-ball, et/ou badminton",6,01283,oyonnax,Sports
